method,ticker,as_of_date,as_of_price,step_ahead,forecast_date,predicted_price,upper_corridor,lower_corridor,corridor_width,confidence_level,actual_price,prediction_error,abs_pct_error,within_corridor
garch11,BZ=F,2026-03-20,112.19000244140624,0,2026-03-20,112.19000244140624,112.19000244140624,112.19000244140624,0.0,0.9,112.19000244140624,0.0,0.0,True
garch11,BZ=F,2026-03-20,112.19000244140624,1,2026-03-23,112.19000244140624,120.38857629709656,104.54975907964364,15.838817217452911,0.9,99.94000244140624,-12.25,12.25735411321612,False
garch11,BZ=F,2026-03-20,112.19000244140624,2,2026-03-24,112.19000244140624,123.88689130380138,101.59748553975164,22.28940576404973,0.9,104.48999786376952,-7.700004577636719,7.369130763765275,True
garch11,BZ=F,2026-03-20,112.19000244140624,3,2026-03-25,112.19000244140624,126.59224801049152,99.4262827749106,27.16596523558094,0.9,102.22000122070312,-9.970001220703123,9.753473979301669,True
garch11,BZ=F,2026-03-20,112.19000244140624,4,2026-03-26,112.19000244140624,128.87926371124658,97.66192237102597,31.217341340220628,0.9,108.01000213623048,-4.180000305175781,3.8700122419251928,True
garch11,BZ=F,2026-03-20,112.19000244140624,5,2026-03-27,112.19000244140624,130.8940795718423,96.15863978702326,34.73543978481904,0.9,112.56999969482422,0.3799972534179687,0.3375652966582004,True
garch11,BZ=F,2026-03-20,112.19000244140624,6,2026-03-30,112.19000244140624,132.71220813298936,94.84128720991411,37.870920923075246,0.9,112.77999877929688,0.589996337890625,0.5231391596706872,True
garch11,BZ=F,2026-03-20,112.19000244140624,7,2026-03-31,112.19000244140624,134.37886598389218,93.66500123100818,40.71386475288401,0.9,118.3499984741211,6.159996032714844,5.204897433151902,True
garch11,BZ=F,2026-03-23,99.94000244140624,0,2026-03-23,99.94000244140624,99.94000244140624,99.94000244140624,0.0,0.9,99.94000244140624,0.0,0.0,True
garch11,BZ=F,2026-03-23,99.94000244140624,1,2026-03-24,99.94000244140624,109.7230059523311,91.02926046637424,18.693745485956853,0.9,104.48999786376952,4.549995422363281,4.354479390740738,True
garch11,BZ=F,2026-03-23,99.94000244140624,2,2026-03-25,99.94000244140624,113.95360348949468,87.64974324755838,26.30386024193629,0.9,102.22000122070312,2.279998779296875,2.230482050547164,True
garch11,BZ=F,2026-03-23,99.94000244140624,3,2026-03-26,99.94000244140624,117.24389300982592,85.1899730687995,32.05391994102642,0.9,108.01000213623048,8.069999694824219,7.471529983534042,True
garch11,BZ=F,2026-03-23,99.94000244140624,4,2026-03-27,99.94000244140624,120.0360758043102,83.2083523312717,36.8277234730385,0.9,112.56999969482422,12.629997253417969,11.21968311953249,True
garch11,BZ=F,2026-03-23,99.94000244140624,5,2026-03-30,99.94000244140624,122.50267067834685,81.53294971187698,40.969720966469865,0.9,112.77999877929688,12.839996337890623,11.384994216055688,True
garch11,BZ=F,2026-03-23,99.94000244140624,6,2026-03-31,99.94000244140624,124.73283630892368,80.0751781451611,44.65765816376256,0.9,118.3499984741211,18.409996032714844,15.55555240394908,True
garch11,BZ=F,2026-03-23,99.94000244140624,7,2026-04-01,99.94000244140624,126.7799785209502,78.78218788574553,47.997790635204666,0.9,101.16000366210938,1.220001220703125,1.2060114437897065,True
garch11,BZ=F,2026-03-24,104.48999786376952,0,2026-03-24,104.48999786376952,104.48999786376952,104.48999786376952,0.0,0.9,104.48999786376952,0.0,0.0,True
garch11,BZ=F,2026-03-24,104.48999786376952,1,2026-03-25,104.48999786376952,114.31969591952814,95.50549943078988,18.81419648873826,0.9,102.22000122070312,-2.2699966430664062,2.220697139462225,True
garch11,BZ=F,2026-03-24,104.48999786376952,2,2026-03-26,104.48999786376952,118.56175844455356,92.08837484201572,26.47338360253784,0.9,108.01000213623048,3.520004272460937,3.258961395094909,True
garch11,BZ=F,2026-03-24,104.48999786376952,3,2026-03-27,104.48999786376952,121.8580427998792,89.59736594080101,32.260676859078174,0.9,112.56999969482422,8.080001831054688,7.17775770894507,True
garch11,BZ=F,2026-03-24,104.48999786376952,4,2026-03-30,104.48999786376952,124.65361179054813,87.58799281256317,37.06561897798494,0.9,112.77999877929688,8.290000915527344,7.350594968306691,True
garch11,BZ=F,2026-03-24,104.48999786376952,5,2026-03-31,104.48999786376952,127.1221005671415,85.88718723857127,41.23491332857023,0.9,118.3499984741211,13.860000610351562,11.711027282676516,True
garch11,BZ=F,2026-03-24,104.48999786376952,6,2026-04-01,104.48999786376952,129.35324286224588,84.4057668132666,44.94747604897928,0.9,101.16000366210938,-3.329994201660156,3.291809095601529,True
garch11,BZ=F,2026-03-24,104.48999786376952,7,2026-04-02,104.48999786376952,131.4007864391863,83.09051984725836,48.31026659192794,0.9,,,,
garch11,BZ=F,2026-03-25,102.22000122070312,0,2026-03-25,102.22000122070312,102.22000122070312,102.22000122070312,0.0,0.9,102.22000122070312,0.0,0.0,True
garch11,BZ=F,2026-03-25,102.22000122070312,1,2026-03-26,102.22000122070312,111.17086654677736,93.98981022751995,17.181056319257408,0.9,108.01000213623048,5.790000915527344,5.3606154995021225,True
garch11,BZ=F,2026-03-25,102.22000122070312,2,2026-03-27,102.22000122070312,115.02039025861131,90.84414186099724,24.176248397614103,0.9,112.56999969482422,10.349998474121094,9.194277784649376,True
garch11,BZ=F,2026-03-25,102.22000122070312,3,2026-03-30,102.22000122070312,118.0073395698677,88.54473533295896,29.46260423690873,0.9,112.77999877929688,10.55999755859375,9.363360234875492,True
garch11,BZ=F,2026-03-25,102.22000122070312,4,2026-03-31,102.22000122070312,120.53811769038232,86.68567959887983,33.85243809150249,0.9,118.3499984741211,16.12999725341797,13.62906418367637,True
garch11,BZ=F,2026-03-25,102.22000122070312,5,2026-04-01,102.22000122070312,122.77127041129914,85.10890711283943,37.66236329845971,0.9,101.16000366210938,-1.05999755859375,1.047842546679132,True
garch11,BZ=F,2026-03-25,102.22000122070312,6,2026-04-02,102.22000122070312,124.78872692212708,83.73295334666794,41.05577357545913,0.9,,,,
garch11,BZ=F,2026-03-25,102.22000122070312,7,2026-04-03,102.22000122070312,126.63955424321256,82.50920268949521,44.13035155371736,0.9,,,,
garch11,BZ=F,2026-03-26,108.01000213623048,0,2026-03-26,108.01000213623048,108.01000213623048,108.01000213623048,0.0,0.9,108.01000213623048,0.0,0.0,True
garch11,BZ=F,2026-03-26,108.01000213623048,1,2026-03-27,108.01000213623048,117.44751421282209,99.33084271437802,18.11667149844405,0.9,112.56999969482422,4.55999755859375,4.0508106697662285,True
garch11,BZ=F,2026-03-26,108.01000213623048,2,2026-03-30,108.01000213623048,121.50609298431267,96.01296753879406,25.49312544551863,0.9,112.77999877929688,4.769996643066406,4.229470380116761,True
garch11,BZ=F,2026-03-26,108.01000213623048,3,2026-03-31,108.01000213623048,124.65523947351129,93.58740643988348,31.067833033627792,0.9,118.3499984741211,10.339996337890623,8.736794652474467,True
garch11,BZ=F,2026-03-26,108.01000213623048,4,2026-04-01,108.01000213623048,127.32346851703292,91.62616049772352,35.69730801930939,0.9,101.16000366210938,-6.849998474121094,6.771449412952955,True
garch11,BZ=F,2026-03-26,108.01000213623048,5,2026-04-02,108.01000213623048,129.67794866519202,89.96256249849148,39.71538616670054,0.9,,,,
garch11,BZ=F,2026-03-26,108.01000213623048,6,2026-04-03,108.01000213623048,131.8050629736776,88.51071649499778,43.29434647867981,0.9,,,,
garch11,BZ=F,2026-03-26,108.01000213623048,7,2026-04-06,108.01000213623048,133.75654452497255,87.21936263305918,46.53718189191338,0.9,109.7699966430664,1.7599945068359375,1.6033475090272828,True
garch11,BZ=F,2026-03-27,112.56999969482422,0,2026-03-27,112.56999969482422,112.56999969482422,112.56999969482422,0.0,0.9,112.56999969482422,0.0,0.0,True
garch11,BZ=F,2026-03-27,112.56999969482422,1,2026-03-30,112.56999969482422,122.0609605052939,103.8170171595784,18.243943345715508,0.9,112.77999877929688,0.2099990844726562,0.1862024177563708,True
garch11,BZ=F,2026-03-27,112.56999969482422,2,2026-03-31,112.56999969482422,126.13616917545656,100.4628958856824,25.67327328977416,0.9,118.3499984741211,5.779998779296875,4.883818211929047,True
garch11,BZ=F,2026-03-27,112.56999969482422,3,2026-04-01,112.56999969482422,129.2962650955919,98.00750873912708,31.28875635646486,0.9,101.16000366210938,-11.409996032714844,11.279157393890632,True
garch11,BZ=F,2026-03-27,112.56999969482422,4,2026-04-02,112.56999969482422,131.9727233217364,96.01987829257436,35.952845029162035,0.9,,,,
garch11,BZ=F,2026-03-27,112.56999969482422,5,2026-04-03,112.56999969482422,134.33385809530947,94.33217366765398,40.00168442765549,0.9,,,,
garch11,BZ=F,2026-03-27,112.56999969482422,6,2026-04-06,112.56999969482422,136.4666382613339,92.85789547351348,43.60874278782045,0.9,109.7699966430664,-2.8000030517578125,2.5507908694417125,True
garch11,BZ=F,2026-03-27,112.56999969482422,7,2026-04-07,112.56999969482422,138.42314281697614,91.54542060967157,46.877722207304586,0.9,109.2699966430664,-3.3000030517578125,3.02004498319641,True
garch11,BZ=F,2026-03-30,112.77999877929688,0,2026-03-30,112.77999877929688,112.77999877929688,112.77999877929688,0.0,0.9,112.77999877929688,0.0,0.0,True
garch11,BZ=F,2026-03-30,112.77999877929688,1,2026-03-31,112.77999877929688,121.53711594437516,104.65385841868714,16.883257525688023,0.9,118.3499984741211,5.569999694824219,4.706379186005801,True
garch11,BZ=F,2026-03-30,112.77999877929688,2,2026-04-01,112.77999877929688,125.28494134352523,101.52319974179834,23.76174160172691,0.9,101.16000366210938,-11.6199951171875,11.486748414917171,False
garch11,BZ=F,2026-03-30,112.77999877929688,3,2026-04-02,112.77999877929688,128.1875987228233,99.22432631069772,28.963272412125576,0.9,,,,
garch11,BZ=F,2026-03-30,112.77999877929688,4,2026-04-03,112.77999877929688,130.6442169922026,97.3585239170391,33.28569307516349,0.9,,,,
garch11,BZ=F,2026-03-30,112.77999877929688,5,2026-04-06,112.77999877929688,132.81046461253382,95.77052653016491,37.03993808236889,0.9,109.7699966430664,-3.0100021362304688,2.7420991420979464,True
garch11,BZ=F,2026-03-30,112.77999877929688,6,2026-04-07,112.77999877929688,134.7667588268071,94.38030739467588,40.38645143213122,0.9,109.2699966430664,-3.5100021362304688,3.21222864835989,True
garch11,BZ=F,2026-03-30,112.77999877929688,7,2026-04-08,112.77999877929688,136.5612425246429,93.1401024881782,43.42114003646468,0.9,94.75,-18.029998779296875,19.029022458360817,True
garch11,BZ=F,2026-03-31,118.3499984741211,0,2026-03-31,118.3499984741211,118.3499984741211,118.3499984741211,0.0,0.9,118.3499984741211,0.0,0.0,True
garch11,BZ=F,2026-03-31,118.3499984741211,1,2026-04-01,118.3499984741211,127.50387125732432,109.85330877175132,17.650562485573005,0.9,101.16000366210938,-17.18999481201172,16.992876818618015,False
garch11,BZ=F,2026-03-31,118.3499984741211,2,2026-04-02,118.3499984741211,131.42110035562865,106.578944331785,24.842156023843657,0.9,,,,
garch11,BZ=F,2026-03-31,118.3499984741211,3,2026-04-03,118.3499984741211,134.45491906092602,104.17411454078196,30.280804520144045,0.9,,,,
garch11,BZ=F,2026-03-31,118.3499984741211,4,2026-04-06,118.3499984741211,137.02256678263612,102.222009612795,34.80055716984111,0.9,109.7699966430664,-8.580001831054688,7.816345170305369,True
garch11,BZ=F,2026-03-31,118.3499984741211,5,2026-04-07,118.3499984741211,139.2867705676829,100.56031941682689,38.72645115085602,0.9,109.2699966430664,-9.080001831054688,8.309693520642062,True
garch11,BZ=F,2026-03-31,118.3499984741211,6,2026-04-08,118.3499984741211,141.33159129140003,99.10538762664297,42.22620366475708,0.9,94.75,-23.599998474121094,24.907650104613293,False
garch11,BZ=F,2026-03-31,118.3499984741211,7,2026-04-09,118.3499984741211,143.20735129337768,97.80728441887038,45.4000668745073,0.9,95.91999816894533,-22.43000030517578,23.3840708229263,False
garch11,BZ=F,2026-04-01,101.16000366210938,0,2026-04-01,101.16000366210938,101.16000366210938,101.16000366210938,0.0,0.9,101.16000366210938,0.0,0.0,True
garch11,BZ=F,2026-04-01,101.16000366210938,1,2026-04-02,101.16000366210938,113.361612898265,90.27170732037634,23.089905577888672,0.9,,,,
garch11,BZ=F,2026-04-01,101.16000366210938,2,2026-04-03,101.16000366210938,118.71666076696444,86.1997488373227,32.51691192964175,0.9,,,,
garch11,BZ=F,2026-04-01,101.16000366210938,3,2026-04-06,101.16000366210938,122.9136345648618,83.2563968769292,39.65723768793261,0.9,109.7699966430664,8.609992980957031,7.843666980289445,True
garch11,BZ=F,2026-04-01,101.16000366210938,4,2026-04-07,101.16000366210938,126.49697020781268,80.89795608627114,45.59901412154153,0.9,109.2699966430664,8.109992980957031,7.421976050249691,True
garch11,BZ=F,2026-04-01,101.16000366210938,5,2026-04-08,101.16000366210938,129.6787866492132,78.9130327738154,50.765753875397806,0.9,94.75,-6.410003662109375,6.765175368980871,True
garch11,BZ=F,2026-04-01,101.16000366210938,6,2026-04-09,101.16000366210938,132.56856128414532,77.19285961762826,55.37570166651706,0.9,95.91999816894533,-5.240005493164063,5.462891569216633,True
garch11,BZ=F,2026-04-01,101.16000366210938,7,2026-04-10,101.16000366210938,135.2317840296609,75.67264171175512,59.55914231790578,0.9,95.1999969482422,-5.960006713867188,6.260511454750876,True
garch11,BZ=F,2026-04-06,109.7699966430664,0,2026-04-06,109.7699966430664,109.7699966430664,109.7699966430664,0.0,0.9,109.7699966430664,0.0,0.0,True
garch11,BZ=F,2026-04-06,109.7699966430664,1,2026-04-07,109.7699966430664,123.17449358216912,97.82424763922964,25.35024594293951,0.9,109.2699966430664,-0.5,0.4575821500510011,True
garch11,BZ=F,2026-04-06,109.7699966430664,2,2026-04-08,109.7699966430664,129.06275266370503,93.36118991988118,35.70156274382384,0.9,94.75,-15.019996643066406,15.852239201125496,True
