method,step_ahead,n,direction_accuracy,magnitude_corr,magnitude_mae,weighted_score
finsler_geodesic (k_neighbors=35),1,28,0.6428571428571429,0.3606736279239667,1.4746106727035588,0.6578490112990791
finsler_geodesic (k_neighbors=35),2,27,0.5555555555555556,0.1233213230531577,2.1500905088582978,0.5579975979439649
finsler_geodesic (k_neighbors=35),3,26,0.5,-0.15235025303855262,2.846745574714709,0.4695299493922895
finsler_geodesic (k_neighbors=35),4,25,0.44,0.014293837764133012,3.577564800646051,0.4668587675528266
finsler_geodesic (k_neighbors=35),5,24,0.3333333333333333,0.19218942817871637,3.5971975248005994,0.43843788563574326
finsler_geodesic (k_neighbors=35),6,23,0.43478260869565216,-0.1395401136191173,4.057337220513157,0.43296154249356783
finsler_geodesic (k_neighbors=35),7,22,0.45454545454545453,0.05002599547827484,4.488986601317315,0.48273247182292767
finsler_geodesic (k_neighbors=5),1,28,0.5714285714285714,0.12261535415154093,1.4298543173124578,0.5673802136874511
finsler_geodesic (k_neighbors=5),2,27,0.48148148148148145,0.458061469605003,1.6815796942086043,0.5805011828098894
finsler_geodesic (k_neighbors=5),3,26,0.46153846153846156,-0.1938185726816637,2.799374423785393,0.43815936238674424
finsler_geodesic (k_neighbors=5),4,25,0.52,0.26448770221362267,2.913443674332844,0.5648975404427246
finsler_geodesic (k_neighbors=5),5,24,0.375,0.16652388693971212,4.030634763160748,0.4583047773879424
finsler_geodesic (k_neighbors=5),6,23,0.43478260869565216,-0.06941024121198723,4.72514147413681,0.44698751697499384
finsler_geodesic (k_neighbors=5),7,22,0.45454545454545453,0.03320485829677592,4.618495868235319,0.4793682443866279
garch11,1,115,0.0,,3.0401740032693603,0.2
garch11,2,113,0.0,,4.274955681994953,0.2
garch11,3,113,0.0,,5.153717041015626,0.2
garch11,4,113,0.0,,5.954071112438641,0.2
garch11,5,113,0.0,,6.485929370981404,0.2
garch11,6,113,0.008849557522123894,,7.2439826357681145,0.20530973451327433
garch11,7,113,0.0,,7.747168481877422,0.2
historical_bootstrap,1,239,0.5397489539748954,0.35739537188204595,2.1052648850981583,0.5953284467613464
historical_bootstrap,2,237,0.540084388185654,0.34799971501765053,2.988396536520896,0.5936505759149224
historical_bootstrap,3,237,0.5527426160337553,0.24514457972076475,3.591784466083955,0.5806744855644062
historical_bootstrap,4,237,0.48945147679324896,0.1492002049313418,4.176904436796671,0.5235109270622178
historical_bootstrap,5,238,0.4117647058823529,0.1924176451020359,4.562256169985303,0.4855423525498189
historical_bootstrap,6,237,0.4050632911392405,0.29080675718208876,5.1605221652553475,0.5011993261199621
historical_bootstrap,7,237,0.43037974683544306,-0.07288408520976239,5.53321645971248,0.44365103105931336
james_stein,1,239,0.497907949790795,0.3289002602333636,2.0865339908313305,0.5645248219211498
james_stein,2,237,0.5189873417721519,0.26320478200914615,2.9757673911853875,0.5640333614651203
james_stein,3,237,0.5021097046413502,0.2668771367991781,3.4843759448444938,0.5546412501446458
james_stein,4,237,0.510548523206751,0.13387792290701597,3.999559387677174,0.5331046985054538
james_stein,5,238,0.47478991596638653,-0.01864252428295967,4.402662384623734,0.48114544472324
james_stein,6,237,0.42616033755274263,-0.01179760028598957,4.938308757785117,0.45333668247444764
james_stein,7,237,0.42616033755274263,0.026487333626464073,5.258207853705386,0.4609936692569384
mc_variance_reduction,1,239,0.5774058577405857,0.548563276182645,2.1381619917182664,0.6561561698808804
mc_variance_reduction,2,237,0.540084388185654,0.532033428883291,3.0713104462998904,0.6304573186880505
mc_variance_reduction,3,237,0.5443037974683544,0.5332530456528284,3.645810199938847,0.6332328876115784
mc_variance_reduction,4,237,0.510548523206751,0.5283830267023926,4.206481466221049,0.6120057192645292
mc_variance_reduction,5,238,0.5042016806722689,0.44711839347707666,4.536484445324502,0.5919446870987767
mc_variance_reduction,6,237,0.5232067510548524,0.4371996606566831,5.120654539599648,0.6013639827642481
mc_variance_reduction,7,237,0.5358649789029536,0.43807156829185856,5.501769707016911,0.6091333010001438
mle_gbm,1,239,0.5774058577405857,0.5485630573325063,2.13816201496587,0.6561561261108527
mle_gbm,2,237,0.540084388185654,0.5320336096471999,3.071310488383842,0.6304573548408323
mle_gbm,3,237,0.5443037974683544,0.5332526071872694,3.6458102485516974,0.6332327999184666
mle_gbm,4,237,0.510548523206751,0.5283835150551806,4.206481561129969,0.6120058169350867
mle_gbm,5,238,0.5042016806722689,0.4471182436695929,4.536484518945204,0.59194465713728
mle_gbm,6,237,0.5232067510548524,0.43719991694614296,5.120654636681082,0.60136403402214
mle_gbm,7,237,0.5358649789029536,0.4380716875804469,5.5017698447405365,0.6091333248578615
