as_of_date,step_ahead,corridor_width_k35,corridor_width_k5,ratio
2026-09-21,0,2.40821770836331,2.40821770836331,1.0
2026-09-21,1,2.399092256480074,4.350142467805043,1.8132451789025952
2026-09-21,2,3.8469741991496136,6.2676342589352885,1.6292374043789453
2026-09-21,3,4.133090179243069,11.92388603127543,2.8849808531056924
2026-09-21,4,5.971766261568334,14.344931467568259,2.4021254080029792
2026-09-21,5,7.75095430309139,17.30727778294309,2.2329221804391564
2026-09-21,6,9.804315694465075,16.603208310608096,1.693459169208644
2026-09-21,7,11.889428074784547,15.071087651019297,1.2676040896351026
2026-09-22,0,2.382057168411521,2.382057168411521,1.0
2026-09-22,1,2.3657282824614185,2.3754157376127125,1.004094914544123
2026-09-22,2,3.1365563017826332,7.523182027975977,2.3985483773080194
2026-09-22,3,3.499640419857897,3.13195891185687,0.8949373467300515
2026-09-22,4,4.873243386055989,6.298413242607253,1.292447912745167
2026-09-22,5,6.181260686582192,9.450643187102273,1.528918398089407
2026-09-22,6,7.284810570646883,13.969169154286746,1.9175747974248698
2026-09-22,7,8.317032062409055,18.63661131140691,2.2407766582552715
2026-09-23,0,2.311495416364181,2.311495416364181,1.0
2026-09-23,1,2.284254162920263,2.4621769330526604,1.0778909689738445
2026-09-23,2,2.2578826581162446,3.7937520846109862,1.6802255294241555
2026-09-23,3,2.2341980063230693,3.6197734643451724,1.6201668133713956
2026-09-23,4,2.216767567528265,2.9368583674290107,1.3248382060658075
2026-09-23,5,2.2404552030941716,3.4422743008157823,1.5364173744968628
2026-09-23,6,2.4913899454707433,4.38407998532135,1.7596924131814244
2026-09-23,7,2.6193439543042416,4.943872828335017,1.887446977023002
