Method,Risk Bin,pi_D_mean,pi_D_std,pi_N_mean,pi_N_std,pi_T_mean,pi_T_std
hybrid,High,0.23772474378347397,0.05378212802346945,0.34334743320941924,0.035556785487481514,0.41892787516117097,0.07022917307731356
hybrid,Low,0.3199454754590988,0.002551824574944157,0.3908032774925232,0.0015711102879924445,0.289251309633255,0.0013489246099386513
hybrid,Medium,0.27205624282360075,0.017178869764160196,0.3840056508779526,0.012854977254751827,0.34393815994262694,0.025732395464300086
monotonic_hybrid,High,0.1843936860561371,0.0020761495143281307,0.22975235879421235,0.001387782111734281,0.5858539938926697,0.00240180967266355
monotonic_hybrid,Low,0.35937370359897614,0.00282795967060205,0.32041466534137725,0.0013436756352597995,0.32021166682243346,0.0016294361659516012
monotonic_hybrid,Medium,0.2778471976518631,0.00307638332587859,0.2964066743850708,0.0007629082933069152,0.4257461816072464,0.002873269688189471
neural,High,0.05097665600478649,0.000472572692700395,0.8668349742889404,0.02972237054965934,0.08218839876353741,0.029603929153625863
neural,Low,0.050540927425026895,0.00018643176649113454,0.06430299766361713,0.00944835194523899,0.8851561188697815,0.00962487861358693
neural,Medium,0.05207723528146744,0.0006755164046987952,0.41307035386562346,0.09276115747905285,0.5348524570465087,0.09291029560232036
prior,High,0.2601608783006668,0.0026835565967880865,0.2553679943084717,0.0015709392305022641,0.4844711601734161,0.002721153932586849
prior,Low,0.45632017552852633,0.002825576633243436,0.3100399971008301,0.0016499846463616965,0.23363988399505614,0.0012325045979662567
prior,Medium,0.37070261836051943,0.0032845118232049083,0.30416658222675325,0.0010382640333980826,0.3251308500766754,0.0025508020319945845
static,High,0.3500000089406967,2.107342425272116e-08,0.3500000089406967,2.107342425272116e-08,0.3000000029802322,1.4395889388407934e-08
static,Low,0.34999999701976775,2.199008427490531e-08,0.34999999701976775,2.199008427490531e-08,0.30000001192092896,0.0
static,Medium,0.3499999940395355,1.4048949504449101e-08,0.3499999940395355,1.4048949504449101e-08,0.29999999403953553,1.5389853101130202e-08
