Method,Metric,Mean Delta,Std Delta,Mean Relative Change %,Seeds Better Than CRPS,Total Seeds
static,CRPS,0.00041067004203796385,0.0005683144069962273,0.05634994192101665,3,10
static,Direction Brier,-8.524507284164428e-05,0.00032998495794123693,-0.037794587340243276,6,10
static,Tail Brier,-0.00016170069575309752,0.00014843124248504883,-0.19736796265873002,9,10
static,Stress CRPS,0.0007952690124511719,0.001749309792094326,0.0696629959340573,3,10
static,Stress Tail Brier,-0.0005006805062294006,0.0009063643700772296,-0.25813503527103154,7,10
prior,CRPS,0.0002038300037384033,0.0014107448282328998,0.030976726694351853,3,10
prior,Direction Brier,-6.049126386642456e-05,0.00034118761102922126,-0.02695655253231217,7,10
prior,Tail Brier,-0.0003980912268161774,0.0004620349313060791,-0.4688063482042792,9,10
prior,Stress CRPS,-0.0017496466636657715,0.008731872678802807,-0.09770337962212197,4,10
prior,Stress Tail Brier,-0.001792977750301361,0.0030385844692366677,-0.9034079554223633,7,10
neural,CRPS,0.00035868287086486815,0.0011294097069342662,0.05090707661020637,3,10
neural,Direction Brier,0.00014516562223434448,0.0005376389867335314,0.06645433152121338,3,10
neural,Tail Brier,-0.00015438944101333618,0.0005672493582708861,-0.17839470933101795,7,10
neural,Stress CRPS,-0.0005366921424865723,0.00610298609015854,-0.015248831776331961,2,10
neural,Stress Tail Brier,-0.0006790511310100555,0.0023910347067269523,-0.3004265343486877,5,10
hybrid,CRPS,0.00012014508247375489,0.001254308271582632,0.01826466592384062,3,10
hybrid,Direction Brier,-9.265094995498657e-05,0.0004534983428887325,-0.04059531631873907,6,10
hybrid,Tail Brier,-0.0002263583242893219,0.0005557812022755651,-0.25876602916016367,6,10
hybrid,Stress CRPS,-0.001221776008605957,0.008341474731724662,-0.05834194394962768,4,10
hybrid,Stress Tail Brier,-0.0015036612749099731,0.002905754149583594,-0.730833070876019,8,10
monotonic_hybrid,CRPS,0.00033228397369384767,0.0016292733600340482,0.049582642576142734,3,10
monotonic_hybrid,Direction Brier,-5.244910717010498e-05,0.0003666435022579734,-0.022314108742711412,6,10
monotonic_hybrid,Tail Brier,-0.0004527002573013306,0.0005978519321657061,-0.5247705277003079,8,10
monotonic_hybrid,Stress CRPS,-0.0017982959747314454,0.01056456390312729,-0.09261302949533246,6,10
monotonic_hybrid,Stress Tail Brier,-0.0021458640694618225,0.003590652181884199,-1.0553150563408165,8,10
