Seed,Method,Risk Bin,Count,pi_D,pi_N,pi_T
42,static,Low,547,0.3500000238418579,0.3500000238418579,0.30000001192092896
42,static,Medium,601,0.3499999940395355,0.3499999940395355,0.29999998211860657
42,static,High,152,0.3499999940395355,0.3499999940395355,0.29999998211860657
42,prior,Low,547,0.45334985852241516,0.31185993552207947,0.23479031026363373
42,prior,Medium,601,0.37484073638916016,0.30415162444114685,0.32100769877433777
42,prior,High,152,0.2569813132286072,0.2541607916355133,0.48885786533355713
42,neural,Low,547,0.050281696021556854,0.05363616719841957,0.8960822224617004
42,neural,Medium,601,0.051987942308187485,0.3312869071960449,0.6167252063751221
42,neural,High,152,0.05082016438245773,0.8835992217063904,0.06558066606521606
42,hybrid,Low,547,0.31693539023399353,0.3924083113670349,0.2906563878059387
42,hybrid,Medium,601,0.2662980556488037,0.3884543180465698,0.34524762630462646
42,hybrid,High,152,0.21562495827674866,0.3748488426208496,0.4095262885093689
42,monotonic_hybrid,Low,547,0.3559110164642334,0.3221246004104614,0.32196441292762756
42,monotonic_hybrid,Medium,601,0.2808119058609009,0.29731595516204834,0.42187216877937317
42,monotonic_hybrid,High,152,0.181479811668396,0.2283383458852768,0.590181827545166
43,static,Low,533,0.34999996423721313,0.34999996423721313,0.30000001192092896
43,static,Medium,608,0.3499999940395355,0.3499999940395355,0.29999998211860657
43,static,High,159,0.3499999940395355,0.3499999940395355,0.29999998211860657
43,prior,Low,533,0.45675310492515564,0.309680312871933,0.23356668651103973
43,prior,Medium,608,0.37154924869537354,0.3046761155128479,0.3237747251987457
43,prior,High,159,0.2632332146167755,0.2554333806037903,0.4813334047794342
43,neural,Low,533,0.05046593025326729,0.05566081777215004,0.8938732743263245
43,neural,Medium,608,0.053338948637247086,0.3651163876056671,0.5815447568893433
43,neural,High,159,0.051784154027700424,0.8805969953536987,0.06761891394853592
43,hybrid,Low,533,0.3212246000766754,0.39014890789985657,0.2886265516281128
43,hybrid,Medium,608,0.27952340245246887,0.3856196105480194,0.3348570466041565
43,hybrid,High,159,0.27539750933647156,0.34906935691833496,0.37553319334983826
43,monotonic_hybrid,Low,533,0.3607287108898163,0.31958505511283875,0.31968629360198975
43,monotonic_hybrid,Medium,608,0.2793942093849182,0.29678383469581604,0.4238220155239105
43,monotonic_hybrid,High,159,0.18707798421382904,0.22991040349006653,0.5830116271972656
44,static,Low,521,0.3499999940395355,0.3499999940395355,0.30000001192092896
44,static,Medium,610,0.3499999940395355,0.3499999940395355,0.30000001192092896
44,static,High,169,0.3500000238418579,0.3500000238418579,0.30000001192092896
44,prior,Low,521,0.4600744843482971,0.30821746587753296,0.2317080795764923
44,prior,Medium,610,0.36942243576049805,0.30471232533454895,0.3258652985095978
44,prior,High,169,0.2587549388408661,0.25646480917930603,0.48478031158447266
44,neural,Low,521,0.050447579473257065,0.06104190647602081,0.888510525226593
44,neural,Medium,610,0.05147264897823334,0.48142126202583313,0.4671061635017395
44,neural,High,169,0.0503404401242733,0.8907371759414673,0.058922458440065384
44,hybrid,Low,521,0.3229922950267792,0.38918715715408325,0.28782057762145996
44,hybrid,Medium,610,0.2937355041503906,0.38193830847740173,0.3243262469768524
44,hybrid,High,169,0.31569090485572815,0.33245977759361267,0.35184940695762634
44,monotonic_hybrid,Low,521,0.3626313805580139,0.31926265358924866,0.3181059956550598
44,monotonic_hybrid,Medium,610,0.2764468193054199,0.29683375358581543,0.42671942710876465
44,monotonic_hybrid,High,169,0.18314537405967712,0.23066891729831696,0.5861858129501343
45,static,Low,516,0.3500000238418579,0.3500000238418579,0.30000001192092896
45,static,Medium,620,0.3499999940395355,0.3499999940395355,0.29999998211860657
45,static,High,164,0.3499999940395355,0.3499999940395355,0.29999998211860657
45,prior,Low,516,0.45497509837150574,0.3108999729156494,0.23412494361400604
45,prior,Medium,620,0.3674808442592621,0.30506664514541626,0.32745251059532166
45,prior,High,164,0.2612465023994446,0.25300726294517517,0.48574623465538025
45,neural,Low,516,0.05074160918593407,0.07639919221401215,0.8728592395782471
45,neural,Medium,620,0.0516810268163681,0.4655179977416992,0.4828009605407715
45,neural,High,164,0.05062900856137276,0.8743838667869568,0.07498709112405777
45,hybrid,Low,516,0.32030385732650757,0.39219558238983154,0.2875005900859833
45,hybrid,Medium,620,0.27764996886253357,0.39485543966293335,0.32749465107917786
45,hybrid,High,164,0.2596742510795593,0.35265785455703735,0.3876679539680481
45,monotonic_hybrid,Low,516,0.35791292786598206,0.32117316126823425,0.3209139108657837
45,monotonic_hybrid,Medium,620,0.27488771080970764,0.2968592941761017,0.42825302481651306
45,monotonic_hybrid,High,164,0.18488295376300812,0.22769328951835632,0.5874237418174744
46,static,Low,515,0.3499999940395355,0.3499999940395355,0.30000001192092896
46,static,Medium,637,0.3499999940395355,0.3499999940395355,0.30000001192092896
46,static,High,148,0.3500000238418579,0.3500000238418579,0.30000001192092896
46,prior,Low,515,0.45328623056411743,0.3118889331817627,0.23482488095760345
46,prior,Medium,637,0.36907678842544556,0.30463939905166626,0.32628384232521057
46,prior,High,148,0.25935035943984985,0.2568911612033844,0.4837585687637329
46,neural,Low,515,0.050659000873565674,0.07004649937152863,0.8792945742607117
46,neural,Medium,637,0.05153504014015198,0.3415317237377167,0.6069332957267761
46,neural,High,148,0.05105117708444595,0.8035107254981995,0.14543811976909637
46,hybrid,Low,515,0.3165851831436157,0.39271217584609985,0.290702760219574
46,hybrid,Medium,637,0.2604985535144806,0.38593631982803345,0.3535652160644531
46,hybrid,High,148,0.21301385760307312,0.37313616275787354,0.4138500392436981
46,monotonic_hybrid,Low,515,0.3564811050891876,0.32183095812797546,0.3216879963874817
46,monotonic_hybrid,Medium,637,0.27652668952941895,0.29648861289024353,0.4269847571849823
46,monotonic_hybrid,High,148,0.18375879526138306,0.2310624122619629,0.5851789116859436
47,static,Low,530,0.3499999940395355,0.3499999940395355,0.30000001192092896
47,static,Medium,624,0.3499999940395355,0.3499999940395355,0.30000001192092896
47,static,High,146,0.3500000238418579,0.3500000238418579,0.30000001192092896
47,prior,Low,530,0.4568072259426117,0.3102872371673584,0.23290562629699707
47,prior,Medium,624,0.3750421106815338,0.30301567912101746,0.3219422698020935
47,prior,High,146,0.25908687710762024,0.2548012137413025,0.48611199855804443
