Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Stress predicted tail probability,Stress observed tail frequency,Mean pi_D,Mean pi_N,Mean pi_T,Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,CRPS Delta %,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,CRPS STD,Direction Brier STD,Tail Brier STD,Stress CRPS STD,Stress Tail Brier STD,Mean predicted tail probability STD,Observed tail frequency STD,Stress predicted tail probability STD,Stress observed tail frequency STD,Mean pi_D STD,Mean pi_N STD,Mean pi_T STD,Risk monotonic violations STD,Dir monotonic violations STD,Delta pi_T risk 0->1 STD,Delta pi_D dir 0->1 STD,CRPS Delta STD,CRPS Delta % STD,Direction Brier Delta STD,Tail Brier Delta STD,Stress CRPS Delta STD,Stress Tail Brier Delta STD,Monotonic OK,CRPS Constraint OK,Eligible,Rank
Stage1,S1_12,2.5,0.5,0.02,0.05,0.7383022507031759,0.22347061336040497,0.0786948949098587,1.2973739306132,0.16134641567866007,0.04790554568171501,0.08717948695023854,0.17102141181627908,0.1980114926894506,0.2637333671251933,0.29004578789075214,0.44622088472048443,0.0,0.0,0.44839634497960407,0.20227388044198355,-7.520119349161784e-05,-0.010738252743243895,-0.0002337247133255005,-0.0007352878650029501,-0.005230108896891276,-0.0028570244709650674,0.03041533545636631,0.007088199250332418,0.0005940340818648727,0.16000253261823866,0.03552750167648596,0.005550548455353411,0.001935854769331644,0.015372896300617602,0.05618909767147992,0.0017765076863785428,0.0003824216570643784,0.0021503952292923514,0.0,0.0,0.0001936697020286219,0.00030773608542535046,0.0006999485795470234,0.09409168684115149,0.0004170336960096622,0.0003453849163112842,0.008963006865818978,0.0034613927396989386,True,True,True,1
Stage1,S1_11,2.5,0.35,0.02,0.05,0.7382194995880127,0.22340287764867148,0.07874890168507893,1.2977009216944377,0.16150863965352377,0.04703827574849129,0.08717948695023854,0.16812361280123392,0.1980114926894506,0.2988693118095398,0.2968592643737793,0.4042714635531108,0.0,0.0,0.4636387626330058,0.22530565659205118,-0.00015795230865478516,-0.021932568192452973,-0.00030146042505900067,-0.0006812810897827148,-0.004903117815653483,-0.0026948004961013794,0.030404652228780676,0.007078946351951228,0.0006090061930959904,0.16073133792648586,0.03579406997232409,0.005256436796378085,0.001935854769331644,0.014960420331956412,0.05618909767147992,0.0020526621768274765,0.000217546357017632,0.002245543024046714,0.0,0.0,0.00011414083009186272,0.00021708356962202101,0.000614616357485837,0.082670287070219,0.00040388794359688934,0.00032857490797789826,0.008236398613259342,0.0031947916637596213,True,True,True,2
Stage1,S1_09,2.0,0.5,0.02,0.05,0.738174319267273,0.2234817842642466,0.07877650360266368,1.2977230151494343,0.16164635121822357,0.04669928178191185,0.08717948695023854,0.1667006810506185,0.1980114926894506,0.2638684610525767,0.2900119920571645,0.44611960649490356,0.0,0.0,0.44845935702323914,0.2023706833521525,-0.00020313262939453125,-0.028214971990280637,-0.00022255380948384604,-0.0006536791721979777,-0.004881024360656738,-0.0025570889314015708,0.03044625910954347,0.0071147263173494905,0.000642562357882775,0.16124859962123292,0.03598951556871483,0.005324839452735895,0.001935854769331644,0.014928373088288753,0.05618909767147992,0.0017587055410944934,0.00037982469716943163,0.0021298698511243662,0.0,0.0,0.00020330293319413778,0.000318787941183086,0.0006096802569022472,0.08189294438610822,0.0004060443343512173,0.00029383008363857515,0.007680948851239299,0.0029995717889851232,True,True,True,3
Stage1,S1_10,2.5,0.15,0.02,0.05,0.7381275296211243,0.22331555684407553,0.07883039613564809,1.2982488870620728,0.16177434722582498,0.04583026717106501,0.08717948695023854,0.16400529444217682,0.1980114926894506,0.3494005501270294,0.3012077212333679,0.34939178824424744,0.0,0.0,0.473196417093277,0.2521594862143199,-0.0002499222755432129,-0.03441900036323672,-0.00038878122965494793,-0.000599786639213562,-0.004355152448018392,-0.0024290929238001504,0.03040423663442724,0.0070690143729102576,0.0006324635288955441,0.16176655835576081,0.03617797659058549,0.004857831882791935,0.001935854769331644,0.014347914246428468,0.05618909767147992,0.0024500968291425894,0.00015427671831854913,0.0023483866493850063,0.0,0.0,2.6391012407854046e-05,8.605061448917084e-05,0.0004994830076467041,0.06724172446023542,0.00038482916064691797,0.00030120822330507486,0.007206454408015244,0.002810879524323477,True,True,True,4
Stage1,S1_08,2.0,0.35,0.02,0.05,0.738116443157196,0.22342239816983542,0.07882728427648544,1.2980643510818481,0.16180494924386343,0.04594314222534498,0.08717948695023854,0.16414620478947958,0.1980114926894506,0.29894518852233887,0.2968384126822154,0.4042164385318756,0.0,0.0,0.4636643628279368,0.22535268465677896,-0.00026100873947143555,-0.036047929663944565,-0.00028193990389506024,-0.0006028984983762106,-0.004539688428243001,-0.0023984909057617188,0.030439302240947888,0.0071039927976769964,0.0006555659263537253,0.1618817284482219,0.03622737998543733,0.005073876101321721,0.001935854769331644,0.014555121399358256,0.05618909767147992,0.002041101170449841,0.00021588962442939633,0.0022321864085092444,0.0,0.0,0.00011872046178820014,0.00022349305434031473,0.0005361259477628099,0.0720986897090544,0.00039346780953211055,0.0002789597591691801,0.007051219614024182,0.002761709786774754,True,True,True,5
Stage1,S1_06,1.5,0.5,0.02,0.05,0.7380738059679667,0.22349242369333902,0.07887848963340123,1.2983283599217732,0.16203282276789346,0.04530228798588117,0.08717948695023854,0.16161406536897024,0.1980114926894506,0.26409801840782166,0.2899571756521861,0.4459448456764221,0.0,0.0,0.44856741031010944,0.20253514250119528,-0.00030364592870076496,-0.041988348661054435,-0.0002119143803914388,-0.0005516931414604187,-0.004275679588317871,-0.002170617381731669,0.030480259586279243,0.007135334440650986,0.0006998786356269828,0.16269238799830577,0.03654410821363404,0.005072013032472785,0.001935854769331644,0.01437094654758137,0.05618909767147992,0.0017265398552691416,0.00037404213262556477,0.0020915539157970314,0.0,0.0,0.00022132893780363305,0.00033883047455351837,0.0005025429188202652,0.0676106972144857,0.00039052462947295727,0.00023246597019720668,0.006222317295636264,0.0024459251967013634,True,True,True,6
Stage1,S1_07,2.0,0.15,0.02,0.05,0.7380532026290894,0.2233444998661677,0.07890282074610393,1.2986117601394653,0.162057563662529,0.044892427821954094,0.08717948695023854,0.16053486863772073,0.1980114926894506,0.3494189480940501,0.3012023866176605,0.34937872489293414,0.0,0.0,0.4731993277867635,0.2521681785583496,-0.000324249267578125,-0.04464193528484863,-0.00035983820756276447,-0.0005273620287577311,-0.0039922793706258135,-0.002145876487096151,0.03044052868149827,0.007091775894746229,0.0006759853344297048,0.16277897020882529,0.03656801862998486,0.00473432888370154,0.001935854769331644,0.014008403869876675,0.05618909767147992,0.002446517975270912,0.0001544662965601208,0.002344144462802406,0.0,0.0,2.6916304222691328e-05,8.767416258534523e-05,0.00043945784286728,0.059273537558396185,0.0003752341527899331,0.0002550717219951619,0.006160258242573102,0.0024210124787556195,True,True,True,7
Stage1,S1_05,1.5,0.35,0.02,0.05,0.7380386193593343,0.22344336410363516,0.07892363766829173,1.2986562252044678,0.16217906276384988,0.044682794560988746,0.08717948695023854,0.1594997892777125,0.1980114926894506,0.2990707953770955,0.296804944674174,0.40412430961926776,0.0,0.0,0.4637068510055542,0.22543058296044668,-0.0003388325373331706,-0.04675506869702286,-0.0002609739700953166,-0.0005065451065699259,-0.003947814305623372,-0.002024377385775248,0.03047683184645777,0.007124509999862664,0.0007104193497581849,0.16320698721751514,0.036743545819235855,0.004871953140743283,0.001935854769331644,0.014055570468270967,0.05618909767147992,0.002021159100272542,0.00021257227219417015,0.0022086093394427515,0.0,0.0,0.00012678161197884918,0.00023458273888276072,0.000446275739430433,0.06021736563014513,0.0003791944047540153,0.0002202878618708377,0.0057089347849973,0.0022462439731607354,True,True,True,8
Stage1,S1_04,1.5,0.15,0.02,0.05,0.7380018631617228,0.22337802747885385,0.07898988823095958,1.2991683880488079,0.1624059776465098,0.043822161853313446,0.08717948695023854,0.15652044614156088,0.1980114926894506,0.34944748878479004,0.3011941810448964,0.3493583897749583,0.0,0.0,0.47320369879404706,0.2521817783514659,-0.00037558873494466144,-0.051764706671469485,-0.00032631059487660724,-0.0004402945439020793,-0.0034356514612833657,-0.0017974625031153362,0.0304808552663942,0.007112007258200088,0.0007269885862418047,0.16393398299028164,0.037027828466859515,0.00459985273655274,0.001935854769331644,0.013596237747541814,0.05618909767147992,0.002440946638882856,0.0001548912633507242,0.002337451953986009,0.0,0.0,2.7714194293049398e-05,9.012484600534838e-05,0.0003771659391411724,0.05124984157868765,0.00036292615563389137,0.0002010088840943898,0.004985559908374956,0.001961587296618409,True,True,True,9
Stage1,S1_03,1.0,0.5,0.02,0.05,0.7380145390828451,0.2235029141108195,0.07900809744993846,1.2992853720982869,0.16253901024659476,0.04366923744479815,0.08717948695023854,0.15556396543979645,0.1980114926894506,0.2645920515060425,0.28985347350438434,0.445554514726003,0.0,0.0,0.4488053023815155,0.20288877685864767,-0.0003629128138224284,-0.050187426288529145,-0.00020142396291097006,-0.00042208532492319745,-0.0033186674118041992,-0.0016644299030303955,0.030518459812826616,0.007146647810181977,0.0007680888540056188,0.16438489489168448,0.037218176423806856,0.004791586294289,0.001935854769331644,0.013683441668476149,0.05618909767147992,0.0016488398923883917,0.00035252652597323397,0.0019912900069879976,0.0,0.0,0.0002686838353853702,0.00038855216282747895,0.0003881095575447125,0.05277688026227489,0.0003684574703800604,0.00015930638482206263,0.004535718760465769,0.001772920509253396,True,True,True,10
Stage1,S1_02,1.0,0.35,0.02,0.05,0.7379982074101766,0.2234667787949244,0.07904398689667384,1.299560546875,0.16265921294689178,0.04321850463747978,0.08717948695023854,0.15401208897431692,0.1980114926894506,0.29933013518651325,0.29674120744069415,0.40392868717511493,0.0,0.0,0.4637959698836009,0.22559132675329843,-0.00037924448649088543,-0.052405183554249675,-0.00023755927880605063,-0.00038619587818781537,-0.003043492635091146,-0.0015442272027333577,0.030517930211874218,0.007137404252480317,0.000775585756770599,0.16475440328176133,0.03736658222691281,0.004651227156293945,0.001935854769331644,0.013449441842794238,0.05618909767147992,0.0019765013179957867,0.00020234187601097712,0.0021526877843092537,0.0,0.0,0.00014580847167736512,0.00025986514189985647,0.00035679885190911576,0.0488360567788133,0.0003595106297549017,0.00015075787135053188,0.004162904827351894,0.001623892351183246,True,True,True,11
Stage1,S1_01,1.0,0.15,0.02,0.05,0.7379825711250305,0.22341783344745636,0.07909594476222992,1.2999809583028157,0.16284169753392538,0.04259215419491132,0.08717948695023854,0.15182948609193167,0.1980114926894506,0.3495015501976013,0.30117902159690857,0.3493194778760274,0.0,0.0,0.4732120633125305,0.2522074381510417,-0.0003948807716369629,-0.05454953276504329,-0.0002865046262741089,-0.0003342380126317342,-0.0026230812072753906,-0.001361742615699768,0.030522601208475032,0.0071264028173110795,0.0007875155670181718,0.1652768728479284,0.03757753566240065,0.004458188106541857,0.001935854769331644,0.01310482173087459,0.05618909767147992,0.0024301526816786134,0.00015587639421667162,0.002324169063060209,0.0,0.0,2.9404669461680985e-05,9.493864760811896e-05,0.0003238781313085216,0.044846930571606616,0.00034608690094230216,0.00013732731031784534,0.003637734440260544,0.0014121775897254886,True,True,True,12
