Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,Seed,Method,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %
Stage1,S1_001,3.0,0.05,0.0,0.0,43,1.3249017000198364,101,monotonic_hybrid,0.7692091464996338,0.23090505599975586,0.07838363945484161,1.2421237230300903,0.15704971551895142,0.05127638578414917,0.08692307770252228,0.03564669191837311,0.1784381866455078,0.19847328960895538,0.02003510296344757,0.3799763321876526,0.29587072134017944,0.3241529166698456,0.9207599368910924,0.6476423485944929,0,0,0.5562986731529236,0.3095923066139221,0.00016421079635620117,-0.00029587745666503906,-0.0004668310284614563,-0.0007641315460205078,-0.0020945370197296143,-0.0072649456560611725,-0.026598602533340454,0.021352561954787908
Stage1,S1_001,3.0,0.05,0.0,0.0,43,1.219561219215393,102,monotonic_hybrid,0.7366931438446045,0.21697194874286652,0.07953204959630966,1.4803743362426758,0.1999429166316986,0.04289358854293823,0.08923076838254929,0.04633717983961105,0.16448456048965454,0.2539682686328888,0.08948370814323425,0.383534699678421,0.2957327961921692,0.3207325339317322,0.9255344378883109,0.6399667533419365,0,0,0.5562974214553833,0.30956757068634033,-0.0008208155632019043,-0.00012062489986419678,-0.0009633675217628479,-0.012890458106994629,-0.005531966686248779,-0.007110703736543655,-0.026843711733818054,-0.11129491892749876
Stage1,S1_001,3.0,0.05,0.0,0.0,50,1.2728898525238037,103,monotonic_hybrid,0.7085692286491394,0.22196045517921448,0.07862391322851181,1.1722471714019775,0.12863558530807495,0.04315997660160065,0.08538461476564407,0.042224638164043427,0.1504823863506317,0.14159291982650757,0.008889466524124146,0.3860311508178711,0.295303612947464,0.3186652362346649,0.918829946472083,0.6417088375097016,0,0,0.5562790036201477,0.30946123600006104,-4.172325134277344e-06,-0.0008591115474700928,-0.00032073259353637695,0.0005878210067749023,0.0006444305181503296,-0.005610566586256027,-0.009992606937885284,-0.0005888345693671938
Stage1,S1_001,3.0,0.05,0.0,0.0,49,1.365247130393982,104,monotonic_hybrid,0.7192941308021545,0.22715280950069427,0.07222341001033783,1.2340691089630127,0.15036173164844513,0.05870269238948822,0.07999999821186066,0.021297305822372437,0.17845405638217926,0.18110236525535583,0.0026483088731765747,0.3830774426460266,0.2949082851409912,0.3220142424106598,0.9196403431849224,0.6683936727454602,0,0,0.5562870502471924,0.30955827236175537,0.0012514591217041016,-0.001094713807106018,-0.0003659874200820923,0.004371047019958496,-0.0006514936685562134,-0.011173143982887268,-0.027867227792739868,0.17428756967539064
Stage1,S1_001,3.0,0.05,0.0,0.0,43,1.3081766366958618,105,monotonic_hybrid,0.7027522921562195,0.22007261216640472,0.07112431526184082,1.1434096097946167,0.12951979041099548,0.05339927226305008,0.07538461685180664,0.02198534458875656,0.1935678869485855,0.1376146823167801,0.05595320463180542,0.3904676139354706,0.29488620162010193,0.3146462142467499,0.917575100089438,0.670708242068704,0,0,0.5562976598739624,0.30957990884780884,0.0011461973190307617,0.00018735229969024658,0.00016221404075622559,0.00343930721282959,0.002171352505683899,-0.006522420793771744,0.021951153874397278,0.16336763997136353
Stage2,S2_001,3.0,0.05,0.0,0.0,43,1.3249017000198364,101,monotonic_hybrid,0.7692091464996338,0.23090505599975586,0.07838363945484161,1.2421237230300903,0.15704971551895142,0.05127638578414917,0.08692307770252228,0.03564669191837311,0.1784381866455078,0.19847328960895538,0.02003510296344757,0.3799763321876526,0.29587072134017944,0.3241529166698456,0.9207599368910924,0.6476423485944929,0,0,0.5562986731529236,0.3095923066139221,0.00016421079635620117,-0.00029587745666503906,-0.0004668310284614563,-0.0007641315460205078,-0.0020945370197296143,-0.0072649456560611725,-0.026598602533340454,0.021352561954787908
Stage2,S2_001,3.0,0.05,0.0,0.0,43,1.219561219215393,102,monotonic_hybrid,0.7366931438446045,0.21697194874286652,0.07953204959630966,1.4803743362426758,0.1999429166316986,0.04289358854293823,0.08923076838254929,0.04633717983961105,0.16448456048965454,0.2539682686328888,0.08948370814323425,0.383534699678421,0.2957327961921692,0.3207325339317322,0.9255344378883109,0.6399667533419365,0,0,0.5562974214553833,0.30956757068634033,-0.0008208155632019043,-0.00012062489986419678,-0.0009633675217628479,-0.012890458106994629,-0.005531966686248779,-0.007110703736543655,-0.026843711733818054,-0.11129491892749876
Stage2,S2_001,3.0,0.05,0.0,0.0,50,1.2728898525238037,103,monotonic_hybrid,0.7085692286491394,0.22196045517921448,0.07862391322851181,1.1722471714019775,0.12863558530807495,0.04315997660160065,0.08538461476564407,0.042224638164043427,0.1504823863506317,0.14159291982650757,0.008889466524124146,0.3860311508178711,0.295303612947464,0.3186652362346649,0.918829946472083,0.6417088375097016,0,0,0.5562790036201477,0.30946123600006104,-4.172325134277344e-06,-0.0008591115474700928,-0.00032073259353637695,0.0005878210067749023,0.0006444305181503296,-0.005610566586256027,-0.009992606937885284,-0.0005888345693671938
Stage2,S2_001,3.0,0.05,0.0,0.0,49,1.365247130393982,104,monotonic_hybrid,0.7192941308021545,0.22715280950069427,0.07222341001033783,1.2340691089630127,0.15036173164844513,0.05870269238948822,0.07999999821186066,0.021297305822372437,0.17845405638217926,0.18110236525535583,0.0026483088731765747,0.3830774426460266,0.2949082851409912,0.3220142424106598,0.9196403431849224,0.6683936727454602,0,0,0.5562870502471924,0.30955827236175537,0.0012514591217041016,-0.001094713807106018,-0.0003659874200820923,0.004371047019958496,-0.0006514936685562134,-0.011173143982887268,-0.027867227792739868,0.17428756967539064
Stage2,S2_001,3.0,0.05,0.0,0.0,43,1.3081766366958618,105,monotonic_hybrid,0.7027522921562195,0.22007261216640472,0.07112431526184082,1.1434096097946167,0.12951979041099548,0.05339927226305008,0.07538461685180664,0.02198534458875656,0.1935678869485855,0.1376146823167801,0.05595320463180542,0.3904676139354706,0.29488620162010193,0.3146462142467499,0.917575100089438,0.670708242068704,0,0,0.5562976598739624,0.30957990884780884,0.0011461973190307617,0.00018735229969024658,0.00016221404075622559,0.00343930721282959,0.002171352505683899,-0.006522420793771744,0.021951153874397278,0.16336763997136353
