Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00022630691528320314,0.0003418420697574176,8.137717843055725e-05,0.00037233993411064144,4,0,16,20
static,Direction Brier,-5.887597799301147e-05,0.00016952588182353288,-0.00013083793222904206,1.4595910906791683e-05,14,0,6,20
static,Tail Brier,-0.00020023733377456666,0.00018972326895973712,-0.000263140294700861,-0.00011029036715626721,19,0,1,20
static,Stress CRPS,-0.0007113754749298095,0.00249153639347575,-0.0017778310179710388,0.0003207603096961969,12,0,8,20
static,Stress Tail Brier,-0.0009392358362674714,0.000790838601077172,-0.0012717234902083875,-0.0006088036485016351,18,0,2,20
static,Tail calibration gap,-0.0024726474657654762,0.0018789235784826182,-0.003093795236200094,-0.0015411789063364276,19,0,1,20
static,Stress tail calibration gap,-0.007841205596923828,0.006027968945823241,-0.010061877053231,-0.005092020053416491,18,0,2,20
prior,CRPS,0.0004352092742919922,0.0004738855394338086,0.00024255163967609405,0.0006463996320962903,3,0,17,20
prior,Direction Brier,8.871629834175109e-05,0.00021389540350864777,2.1819025278091664e-07,0.00018175037577748294,7,0,13,20
prior,Tail Brier,-0.00041239634156227113,0.00022557995421875328,-0.0005047775246202946,-0.0003148200642317534,18,0,2,20
prior,Stress CRPS,-0.0024451762437820435,0.004937143578363427,-0.0045584398508071895,-0.00033879645168781306,14,0,6,20
prior,Stress Tail Brier,-0.0019513495266437531,0.0016246781803869734,-0.002642215937376022,-0.001246632505208254,19,0,1,20
prior,Tail calibration gap,-0.006009317003190517,0.001996888753855215,-0.0067637397442013025,-0.005109904441051185,19,0,1,20
prior,Stress tail calibration gap,-0.017108649760484696,0.012044920208315693,-0.0215240385197103,-0.011319458838552237,19,0,1,20
neural,CRPS,0.0005616098642349243,0.0007283614855129126,0.00026252515614032744,0.0008825480192899703,5,0,15,20
neural,Direction Brier,0.000315132737159729,0.0004249335217957178,0.00014011485502123835,0.0004969049617648124,4,0,16,20
neural,Tail Brier,-0.0002598736435174942,0.0002892902535992872,-0.0003901038132607937,-0.00014257383532822134,16,0,4,20
neural,Stress CRPS,0.001040184497833252,0.0032582274345397838,-0.00028507992625236505,0.0024501325190067285,8,0,12,20
neural,Stress Tail Brier,-0.0002615578472614288,0.0007418038205809611,-0.0005636409670114517,8.071832358837092e-05,13,0,7,20
neural,Tail calibration gap,-0.0031071651726961138,0.003289104197634904,-0.004561798628419637,-0.0017235398385673768,17,0,3,20
neural,Stress tail calibration gap,-0.0035840079188346865,0.0057527178758674915,-0.006108160093426704,-0.0013290908187627796,14,0,6,20
hybrid,CRPS,0.00040872693061828614,0.00048157976425831797,0.00021268710494041444,0.000620170310139656,3,0,17,20
hybrid,Direction Brier,9.822249412536622e-05,0.00021676642415978403,7.773544639348984e-06,0.00019446102902293197,7,0,13,20
hybrid,Tail Brier,-0.00040780194103717804,0.0002253535387109661,-0.0005027834977954626,-0.00030899859964847573,18,0,2,20
hybrid,Stress CRPS,-0.002483522891998291,0.004818009418637721,-0.00449951022863388,-0.00043180003762245255,15,0,5,20
hybrid,Stress Tail Brier,-0.0019460812211036683,0.0015646834543185052,-0.002592785693705082,-0.0012861077859997751,19,0,1,20
hybrid,Tail calibration gap,-0.005813831649720669,0.002053769380553535,-0.0065877801552414895,-0.00485823994036764,19,0,1,20
hybrid,Stress tail calibration gap,-0.017261918634176254,0.011470275813189618,-0.02146341923624277,-0.011774515006691225,19,0,1,20
monotonic_hybrid,CRPS,0.0005384594202041626,0.0006933244649674902,0.0002791804075241089,0.0008601341396570205,2,0,18,20
monotonic_hybrid,Direction Brier,0.00011310651898384094,0.0002201818400887387,1.868000254034996e-05,0.0002070081979036331,8,0,12,20
monotonic_hybrid,Tail Brier,-0.0004441805183887482,0.0002353178484641717,-0.000538725908845663,-0.0003426337242126465,18,0,2,20
monotonic_hybrid,Stress CRPS,-0.0025809228420257567,0.005270060581937933,-0.004879704713821411,-0.00034310087561607394,14,0,6,20
monotonic_hybrid,Stress Tail Brier,-0.0020513735711574555,0.0017198274960114586,-0.002834534700959921,-0.001290679518133402,19,0,1,20
monotonic_hybrid,Tail calibration gap,-0.0067206697538495066,0.002549326387402429,-0.007794756423681974,-0.005605306252837181,19,0,1,20
monotonic_hybrid,Stress tail calibration gap,-0.018283477425575255,0.013242800728221317,-0.023121110759675503,-0.012032503560185457,19,0,1,20
