Method,Risk Bin,pi_D_mean,pi_D_std,pi_N_mean,pi_N_std,pi_T_mean,pi_T_std
hybrid,High,0.24192515164613723,0.01208610666754798,0.25455372631549833,0.004033233382943467,0.5035211205482483,0.013906848612654007
hybrid,Low,0.4512866407632828,0.0033847101811563026,0.32163322865962984,0.0017979342858914077,0.2270801320672035,0.0017082996704890147
hybrid,Medium,0.3585298776626587,0.0042582731167941975,0.3116025567054749,0.0021294357281811654,0.3298675686120987,0.003891911665472838
monotonic_hybrid,High,0.23383894190192223,0.004275660501142844,0.23849674612283706,0.0024624028890179676,0.5276643186807632,0.004175784883656305
monotonic_hybrid,Low,0.45927136540412905,0.0034601685512499238,0.31025093197822573,0.0017307797885341477,0.23047769963741302,0.0018508583325949756
monotonic_hybrid,Medium,0.3606394112110138,0.003149276205127677,0.29841385781764984,0.0016711278693169246,0.34094672054052355,0.0028983978475852616
neural,High,0.0049992930609732865,0.007166496824475829,0.9478446662425994,0.040417942128322885,0.04715604302473366,0.04036034631129412
neural,Low,0.0013343649625312537,0.00039434967511567067,0.02660909027326852,0.01320332446849611,0.9720565527677536,0.013445167705359416
neural,Medium,0.0054181056679226455,0.004015311350687989,0.4471303701400757,0.08008613974200281,0.5474515154957771,0.07891241912513954
prior,High,0.24791852980852128,0.0044966792291810985,0.24207082465291024,0.0025090355968673274,0.5100106611847878,0.004279044422810888
prior,Low,0.47525894492864607,0.0034505827124425167,0.3074093207716942,0.0017752808255771784,0.21733175069093705,0.0017898192463391513
prior,Medium,0.3767012536525726,0.0031349054927098043,0.2985159128904343,0.0017028666243750852,0.32478281706571577,0.002806667341909514
static,High,0.35,2.073801677273089e-08,0.35,2.073801677273089e-08,0.3,1.7829031992678466e-08
static,Low,0.3499999284744263,2.4840496576643697e-08,0.3499999284744263,2.4840496576643697e-08,0.3000000149011612,2.3486284182544637e-08
static,Medium,0.34999994933605194,3.2789683593259976e-08,0.34999994933605194,3.2789683593259976e-08,0.3000000223517418,2.9447285363626067e-08
