Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00022628307342529297,0.0003418219840529831,8.455090224742889e-05,0.00037047609686851495,4,0,16,20
static,Direction Brier,-5.8873742818832395e-05,0.0001695150634164705,-0.0001298908144235611,1.4814808964729274e-05,14,0,6,20
static,Tail Brier,-0.00020023807883262634,0.0001897259046100372,-0.00026421287097036836,-0.00010564167983829976,19,0,1,20
static,Stress CRPS,-0.000711369514465332,0.002491507529508504,-0.0017911770939826965,0.000315613746643066,12,0,8,20
static,Stress Tail Brier,-0.0009392298758029938,0.0007908396219867445,-0.0012708620354533195,-0.0005898747965693476,18,0,2,20
static,Tail calibration gap,-0.0024726584553718565,0.0018789241344565832,-0.0030968380579724907,-0.0015608020545914791,19,0,1,20
static,Stress tail calibration gap,-0.0078412264585495,0.006027966961829841,-0.010051019340753555,-0.004928243644535542,18,0,2,20
prior,CRPS,0.0004352092742919922,0.0004738931156703708,0.0002429649978876114,0.0006512635201215741,3,0,17,20
prior,Direction Brier,8.871853351593018e-05,0.00021389358001577965,-2.6714988052845e-06,0.00017942303791642185,7,0,13,20
prior,Tail Brier,-0.0004123944789171219,0.00022558100695966405,-0.0005076390877366067,-0.00031554828397929675,18,0,2,20
prior,Stress CRPS,-0.002445152401924133,0.004937171129618227,-0.0045550200343132015,-0.0003248005360364917,14,0,6,20
prior,Stress Tail Brier,-0.0019513428211212157,0.0016246819961926214,-0.002651621736586094,-0.0012486333400011063,19,0,1,20
prior,Tail calibration gap,-0.006009329855442047,0.001996890119888301,-0.006754921227693558,-0.0050759421847760685,19,0,1,20
prior,Stress tail calibration gap,-0.017108670622110366,0.012044926707975304,-0.02149155268445611,-0.011182900350540877,19,0,1,20
neural,CRPS,0.0005616039037704468,0.0007283736124520543,0.00024830542504787444,0.000872771218419075,5,0,15,20
neural,Direction Brier,0.0003151245415210724,0.00042493518392708535,0.0001306835375726223,0.0005002123862504957,4,0,16,20
neural,Tail Brier,-0.00025987327098846434,0.0002892892382620001,-0.00039056330919265745,-0.00014349477365612994,16,0,4,20
neural,Stress CRPS,0.0010401874780654908,0.0032582347315467516,-0.00030803553760051723,0.0024351657927036276,8,0,12,20
neural,Stress Tail Brier,-0.0002615496516227722,0.0007417972277445192,-0.0005590290762484074,6.875952705740926e-05,13,0,7,20
neural,Tail calibration gap,-0.003107178583741188,0.0032891026255302,-0.0045454572374001145,-0.0017313334718346612,17,0,3,20
neural,Stress tail calibration gap,-0.0035840272903442383,0.005752721915777851,-0.006201868355274201,-0.0012758818641304976,14,0,6,20
hybrid,CRPS,0.00040872693061828614,0.0004815668908597829,0.00021159835159778595,0.0006251166015863418,3,0,17,20
hybrid,Direction Brier,9.822249412536622e-05,0.000216760196563748,7.1890093386173285e-06,0.00018968394026160242,7,0,13,20
hybrid,Tail Brier,-0.0004078008234500885,0.00022535542769809723,-0.0005005759093910456,-0.0003082153014838696,18,0,2,20
hybrid,Stress CRPS,-0.0024835020303726196,0.004817998922244047,-0.004587030857801437,-0.0004484454542398459,15,0,5,20
hybrid,Stress Tail Brier,-0.0019460782408714295,0.0015646887699966995,-0.0026057698763906957,-0.0012712970189750197,19,0,1,20
hybrid,Tail calibration gap,-0.005813844129443168,0.0020537693572195556,-0.0066041147708892824,-0.004888427862897516,19,0,1,20
hybrid,Stress tail calibration gap,-0.017261942476034166,0.011470283586213255,-0.02138223446905613,-0.01199086694046856,19,0,1,20
monotonic_hybrid,CRPS,0.0005384594202041626,0.0006933246737100368,0.00027730077505111695,0.0008628049492835996,2,0,18,20
monotonic_hybrid,Direction Brier,0.00011310428380966187,0.0002201775764704735,2.1800994873046874e-05,0.00020991887897253028,8,0,12,20
monotonic_hybrid,Tail Brier,-0.0004441801458597183,0.00023532004757980426,-0.0005417667888104916,-0.0003454651217907668,18,0,2,20
monotonic_hybrid,Stress CRPS,-0.0025809645652770997,0.005270097444712091,-0.004727665483951568,-0.00029506638646125793,14,0,6,20
monotonic_hybrid,Stress Tail Brier,-0.00205136239528656,0.001719832274806031,-0.0028027308359742167,-0.0013202665559947497,19,0,1,20
monotonic_hybrid,Tail calibration gap,-0.006720682233572006,0.00254932572386907,-0.007792346556670964,-0.005666386969387537,19,0,1,20
monotonic_hybrid,Stress tail calibration gap,-0.01828349903225899,0.013242805212470503,-0.023180964794009922,-0.011881100200116634,19,0,1,20
