Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00022628307342529297,0.0003418219840529831,8.115440607070922e-05,0.00036867618560791014,4,0,16,20
static,Direction Brier,-5.8873742818832395e-05,0.0001695150634164705,-0.0001280834898352623,1.4952234923839562e-05,14,0,6,20
static,Tail Brier,-0.00020023807883262634,0.0001897259046100372,-0.0002638776693493128,-0.00010174298658967022,19,0,1,20
static,Stress CRPS,-0.000711369514465332,0.002491507529508504,-0.0017835970222949981,0.0003358116745948776,12,0,8,20
static,Stress Tail Brier,-0.0009392298758029938,0.0007908396219867445,-0.0012680902890861035,-0.0005964234657585627,18,0,2,20
static,Tail calibration gap,-0.0024726584553718565,0.0018789241344565832,-0.003099542185664177,-0.001534026567824186,19,0,1,20
static,Stress tail calibration gap,-0.0078412264585495,0.006027966961829841,-0.010078952945768833,-0.005002653598785402,18,0,2,20
prior,CRPS,0.0004352092742919922,0.0004738931156703708,0.00024280592799186707,0.0006470578163862225,3,0,17,20
prior,Direction Brier,8.871853351593018e-05,0.00021389358001577965,6.82473182678227e-07,0.00018318302929401387,7,0,13,20
prior,Tail Brier,-0.0004123944789171219,0.00022558100695966405,-0.0005032019596546888,-0.000311731193214655,18,0,2,20
prior,Stress CRPS,-0.002445152401924133,0.004937171129618227,-0.004609141945838928,-0.0003288331627845769,14,0,6,20
prior,Stress Tail Brier,-0.0019513428211212157,0.0016246819961926214,-0.0026525003463029858,-0.0012573622912168507,19,0,1,20
prior,Tail calibration gap,-0.006009329855442047,0.001996890119888301,-0.006756138671189547,-0.005060655586421491,19,0,1,20
prior,Stress tail calibration gap,-0.017108670622110366,0.012044926707975304,-0.02143862899392843,-0.011365156378597027,19,0,1,20
neural,CRPS,0.0005616039037704468,0.0007283736124520543,0.00025115087628364564,0.0008793917298316951,5,0,15,20
neural,Direction Brier,0.0003151245415210724,0.00042493518392708535,0.00013256816193461416,0.000492738652974367,4,0,16,20
neural,Tail Brier,-0.00025987327098846434,0.0002892892382620001,-0.0003875795379281044,-0.0001445857807993892,16,0,4,20
neural,Stress CRPS,0.0010401874780654908,0.0032582347315467516,-0.0003303053975105286,0.0024699687957763666,8,0,12,20
neural,Stress Tail Brier,-0.0002615496516227722,0.0007417972277445192,-0.0005634254775941372,6.765777245163897e-05,13,0,7,20
neural,Tail calibration gap,-0.003107178583741188,0.0032891026255302,-0.004558764477260411,-0.0017436193674802791,17,0,3,20
neural,Stress tail calibration gap,-0.0035840272903442383,0.005752721915777851,-0.006211575288325549,-0.0012295239605009563,14,0,6,20
hybrid,CRPS,0.00040872693061828614,0.0004815668908597829,0.0002137041836977005,0.0006248774379491805,3,0,17,20
hybrid,Direction Brier,9.822249412536622e-05,0.000216760196563748,7.0398300886154175e-06,0.00019106496125459663,7,0,13,20
hybrid,Tail Brier,-0.0004078008234500885,0.00022535542769809723,-0.0005013808142393827,-0.0003100093174725772,18,0,2,20
hybrid,Stress CRPS,-0.0024835020303726196,0.004817998922244047,-0.004499651566147804,-0.00044773265719413814,15,0,5,20
hybrid,Stress Tail Brier,-0.0019460782408714295,0.0015646887699966995,-0.002620570380240679,-0.00128294836729765,19,0,1,20
hybrid,Tail calibration gap,-0.005813844129443168,0.0020537693572195556,-0.006601930405013263,-0.004899813723750412,19,0,1,20
hybrid,Stress tail calibration gap,-0.017261942476034166,0.011470283586213255,-0.021374480221420526,-0.011668825168162589,19,0,1,20
monotonic_hybrid,CRPS,0.0005384594202041626,0.0006933246737100368,0.00028006069362163544,0.0008640653640031813,2,0,18,20
monotonic_hybrid,Direction Brier,0.00011310428380966187,0.0002201775764704735,2.0479466766119003e-05,0.00021146096289157863,8,0,12,20
monotonic_hybrid,Tail Brier,-0.0004441801458597183,0.00023532004757980426,-0.0005417615268379449,-0.0003427365701645613,18,0,2,20
monotonic_hybrid,Stress CRPS,-0.0025809645652770997,0.005270097444712091,-0.0047693981230258935,-0.00036226108670234713,14,0,6,20
monotonic_hybrid,Stress Tail Brier,-0.00205136239528656,0.001719832274806031,-0.0028238083980977537,-0.001323265545070172,19,0,1,20
monotonic_hybrid,Tail calibration gap,-0.006720682233572006,0.00254932572386907,-0.007834888403303921,-0.005651358966715634,19,0,1,20
monotonic_hybrid,Stress tail calibration gap,-0.01828349903225899,0.013242805212470503,-0.023235916644334793,-0.012033740375190978,19,0,1,20
