Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00022628307342529297,0.0003418219840529831,7.598966360092163e-05,0.00036860987544059745,4,0,16,20
static,Direction Brier,-5.8873742818832395e-05,0.0001695150634164705,-0.00013102492317557335,1.549648120999332e-05,14,0,6,20
static,Tail Brier,-0.00020023807883262634,0.0001897259046100372,-0.00026436380110681054,-0.00010844570584595208,19,0,1,20
static,Stress CRPS,-0.000711369514465332,0.002491507529508504,-0.001805453449487686,0.0003464423120021805,12,0,8,20
static,Stress Tail Brier,-0.0009392298758029938,0.0007908396219867445,-0.0012740659900009632,-0.0006013474054634576,18,0,2,20
static,Tail calibration gap,-0.0024726584553718565,0.0018789241344565832,-0.0030897139525040986,-0.0015596380410715944,19,0,1,20
static,Stress tail calibration gap,-0.0078412264585495,0.006027966961829841,-0.01011680968105793,-0.0049328390508890175,18,0,2,20
prior,CRPS,0.0004352092742919922,0.0004738931156703708,0.0002408452332019806,0.0006453452259302136,3,0,17,20
prior,Direction Brier,8.871853351593018e-05,0.00021389358001577965,-4.16954979300499e-06,0.00018022546544671058,7,0,13,20
prior,Tail Brier,-0.0004123944789171219,0.00022558100695966405,-0.0005063577834516764,-0.00031410560943186285,18,0,2,20
prior,Stress CRPS,-0.002445152401924133,0.004937171129618227,-0.004484803304076195,-0.00040091522037983055,14,0,6,20
prior,Stress Tail Brier,-0.0019513428211212157,0.0016246819961926214,-0.002622478846460581,-0.0012437857501208787,19,0,1,20
prior,Tail calibration gap,-0.006009329855442047,0.001996890119888301,-0.006771483090706169,-0.005081224255263806,19,0,1,20
prior,Stress tail calibration gap,-0.017108670622110366,0.012044926707975304,-0.021511202137917282,-0.011602059416472913,19,0,1,20
neural,CRPS,0.0005616039037704468,0.0007283736124520543,0.0002472352981567383,0.0008742137998342513,5,0,15,20
neural,Direction Brier,0.0003151245415210724,0.00042493518392708535,0.0001410633884370327,0.0004948639683425427,4,0,16,20
neural,Tail Brier,-0.00025987327098846434,0.0002892892382620001,-0.0003825859539210796,-0.00014430331997573382,16,0,4,20
neural,Stress CRPS,0.0010401874780654908,0.0032582347315467516,-0.00029837682843208307,0.002430327236652372,8,0,12,20
neural,Stress Tail Brier,-0.0002615496516227722,0.0007417972277445192,-0.0005707093141973018,5.7566054165362934e-05,13,0,7,20
neural,Tail calibration gap,-0.003107178583741188,0.0032891026255302,-0.004557223981246352,-0.0017205620277673055,17,0,3,20
neural,Stress tail calibration gap,-0.0035840272903442383,0.005752721915777851,-0.00613614559173584,-0.0012462496012449278,14,0,6,20
hybrid,CRPS,0.00040872693061828614,0.0004815668908597829,0.00021130815148353576,0.0006203033775091165,3,0,17,20
hybrid,Direction Brier,9.822249412536622e-05,0.000216760196563748,8.555501699447631e-06,0.0001923817209899425,7,0,13,20
hybrid,Tail Brier,-0.0004078008234500885,0.00022535542769809723,-0.0005010920576751232,-0.00030678084120154385,18,0,2,20
hybrid,Stress CRPS,-0.0024835020303726196,0.004817998922244047,-0.004575836956501007,-0.00039456754922866864,15,0,5,20
hybrid,Stress Tail Brier,-0.0019460782408714295,0.0015646887699966995,-0.0026224535517394543,-0.0012845188006758693,19,0,1,20
hybrid,Tail calibration gap,-0.005813844129443168,0.0020537693572195556,-0.0066051334887743,-0.00484566507395357,19,0,1,20
hybrid,Stress tail calibration gap,-0.017261942476034166,0.011470283586213255,-0.021509981881827116,-0.011344593185931446,19,0,1,20
monotonic_hybrid,CRPS,0.0005384594202041626,0.0006933246737100368,0.00028084516525268556,0.0008529483526945114,2,0,18,20
monotonic_hybrid,Direction Brier,0.00011310428380966187,0.0002201775764704735,2.1333638578653335e-05,0.0002067711204290389,8,0,12,20
monotonic_hybrid,Tail Brier,-0.0004441801458597183,0.00023532004757980426,-0.0005415360163897276,-0.00034505772404372717,18,0,2,20
monotonic_hybrid,Stress CRPS,-0.0025809645652770997,0.005270097444712091,-0.00485762283205986,-0.0003627771139144897,14,0,6,20
monotonic_hybrid,Stress Tail Brier,-0.00205136239528656,0.001719832274806031,-0.002779614496976137,-0.0013182838819921026,19,0,1,20
monotonic_hybrid,Tail calibration gap,-0.006720682233572006,0.00254932572386907,-0.007832406549714505,-0.005612710397690535,19,0,1,20
monotonic_hybrid,Stress tail calibration gap,-0.01828349903225899,0.013242805212470503,-0.023294925186783073,-0.011877123527228837,19,0,1,20
