Method,Risk Bin,pi_D_mean,pi_D_std,pi_N_mean,pi_N_std,pi_T_mean,pi_T_std
hybrid,High,0.24192515537142753,0.012086106776084628,0.25455373004078863,0.004033234794031206,0.5035211190581321,0.013906839372001916
hybrid,Low,0.4512866362929344,0.0033847108772855445,0.32163323163986207,0.0017979420231348283,0.22708013132214547,0.0017082951347059175
hybrid,Medium,0.35852987617254256,0.004258257212767323,0.3116025567054749,0.0021294357478724773,0.32986757159233093,0.003891912031284813
monotonic_hybrid,High,0.23383894339203834,0.0042756657133222265,0.2384967401623726,0.0024623965374934147,0.527664315700531,0.004175789120170263
monotonic_hybrid,Low,0.4592713713645935,0.003460166334348222,0.3102509409189224,0.0017307782339707888,0.23047770112752913,0.0018508575176724763
monotonic_hybrid,Medium,0.3606394201517105,0.0031492835696174328,0.2984138667583466,0.0016711289184696153,0.3409467235207558,0.0028984024727395814
neural,High,0.004999296716414392,0.007166502597931383,0.947844636440277,0.040417949447561205,0.04715606076642871,0.04036036153499434
neural,Low,0.001334364988724701,0.000394349642884966,0.02660908899269998,0.013203321857025552,0.9720565587282181,0.013445158103565261
neural,Medium,0.0054181074956431985,0.004015313682517141,0.4471303313970566,0.08008614396299794,0.5474515661597252,0.0789124038195258
prior,High,0.24791852682828902,0.004496682711838496,0.24207081496715546,0.002509038260850649,0.5100106507539749,0.004279049026796143
prior,Low,0.47525894194841384,0.003450572158622355,0.3074093133211136,0.0017752804171356365,0.21733174845576286,0.0017898203347674515
prior,Medium,0.3767012611031532,0.0031349114485904406,0.29851592481136324,0.0017028656750527479,0.3247828185558319,0.0028066669010824888
static,High,0.35000001937150954,1.091800774738966e-08,0.35000001937150954,1.091800774738966e-08,0.3000000104308128,6.664001877575484e-09
static,Low,0.3500000074505806,2.0454309626263042e-08,0.3500000074505806,2.0454309626263042e-08,0.3000000163912773,1.091800774535208e-08
static,Medium,0.3500000089406967,1.528826881209147e-08,0.3500000089406967,1.528826881209147e-08,0.2999999985098839,1.5211635394465576e-08
