Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %,Best Epoch STD,Best Validation Objective STD,CRPS STD,Direction Brier STD,Tail Brier STD,Stress CRPS STD,Stress Tail Brier STD,Mean predicted tail probability STD,Observed tail frequency STD,Tail calibration gap STD,Stress predicted tail probability STD,Stress observed tail frequency STD,Stress tail calibration gap STD,Mean pi_D STD,Mean pi_N STD,Mean pi_T STD,"Corr(risk, pi_T) STD","Corr(dir_unc, pi_D) STD",Risk monotonic violations STD,Dir monotonic violations STD,Delta pi_T risk 0->1 STD,Delta pi_D dir 0->1 STD,CRPS Delta STD,Direction Brier Delta STD,Tail Brier Delta STD,Stress CRPS Delta STD,Stress Tail Brier Delta STD,Tail calibration gap Delta STD,Stress tail calibration gap Delta STD,CRPS Delta % STD,Monotonic OK,CRPS Constraint OK,Eligible,Rank
Stage1,S1_022,3.0,0.05,0.0,0.02,45.6,1.2955934286117554,0.7272865891456604,0.22340636551380158,0.07598343342542649,1.2544536113739013,0.1531120240688324,0.04970551431179047,0.08338461518287658,0.03367910087108612,0.17239753305912017,0.18255030512809753,0.03554963171482086,0.38154093623161317,0.2976198852062225,0.32083921432495116,0.9204678790837131,0.6536840308941112,0.0,0.0,0.522914457321167,0.2909789800643921,0.00033037662506103517,-0.00044280588626861573,-0.00038497298955917356,-0.0010424613952636718,-0.0010823667049407958,-0.00735548734664917,-0.013722525537014007,0.047032291706721664,3.577708763999663,0.05481485678512024,0.026761183513933244,0.005591037285037626,0.003981997397256896,0.13314464288066322,0.029122687272883325,0.006838131417265692,0.005615911054888193,0.0114974168676176,0.01640503168250539,0.04757331469429133,0.036778839984000986,0.0036799997229117827,0.00042801425488611644,0.003398117270570845,0.0030615031110875187,0.014784077394227277,0.0,0.0,8.189448272882416e-06,4.911303645345933e-05,0.0008399606297927388,0.0005230218618563918,0.0003893330033483942,0.006732635820195025,0.0028488368662256164,0.002146775522119272,0.020777978000268198,0.11690034209194765,True,True,True,1
Stage1,S1_021,3.0,0.02,0.0,0.02,45.6,1.2973698616027831,0.7272529482841492,0.22339154481887818,0.07599248737096786,1.254454255104065,0.15312328338623046,0.04944912046194076,0.08338461518287658,0.03393549472093582,0.17163060903549193,0.18255030512809753,0.0357166051864624,0.3904106438159943,0.29729839563369753,0.31229095458984374,0.9189001894896724,0.6556063049603778,0.0,0.0,0.522035825252533,0.29420669078826905,0.00029673576354980467,-0.0004576265811920166,-0.00037591904401779175,-0.0010418176651000976,-0.0010711073875427247,-0.007099093496799469,-0.013555552065372466,0.042325864194010604,3.577708763999663,0.05438078215322296,0.026778427786049625,0.005591394667014157,0.003991844671971815,0.13332630383331148,0.029198738857919727,0.006770341740588201,0.005615911054888193,0.011433855349852206,0.016335447372186576,0.04757331469429133,0.036800080292229524,0.0037115062867363645,0.00047891904763228404,0.003375895159860579,0.0031060452351034493,0.014691178733772637,0.0,0.0,2.6203682426321743e-06,1.8868301969832402e-05,0.0008059957934384946,0.0005212026143941224,0.0003791510909514067,0.006537206656879938,0.0027681977391326904,0.0021023971966915743,0.0200539368539294,0.11212995052142699,True,True,True,2
Stage1,S1_020,3.0,0.01,0.0,0.02,45.6,1.2979568481445312,0.7272419452667236,0.22338664829730986,0.07599556148052215,1.2544551134109496,0.1531273066997528,0.04936371520161629,0.08338461518287658,0.0340208999812603,0.1713743805885315,0.18255030512809753,0.0357722818851471,0.3933733403682709,0.29716050028800967,0.30946616530418397,0.9183723908741112,0.6562499940024024,0.0,0.0,0.5216637849807739,0.29523604512214663,0.0002857327461242676,-0.00046252310276031496,-0.000372844934463501,-0.0010409593582153321,-0.0010670840740203858,-0.007013688236474991,-0.013499875366687775,0.04078604025646756,3.577708763999663,0.05423583701301562,0.026784189103538733,0.00559154100999329,0.003995125845042293,0.1333869703884073,0.02922418249990371,0.006748017305255148,0.005615911054888193,0.011412924598405535,0.016312483729055565,0.04757331469429133,0.036811891594568526,0.0037221917729845606,0.0004968757745195371,0.0033687278818493246,0.003120952769719382,0.01465930553135497,0.0,0.0,1.377370358501833e-06,9.293604685990933e-06,0.0007947545233113568,0.0005205984141221898,0.00037575632512617315,0.006472058679869509,0.0027412413640988853,0.0020881220940150314,0.019814146316588906,0.11055147083315944,True,True,True,3
Stage1,S1_019,3.0,0.005,0.0,0.02,45.6,1.2982492923736573,0.7272365093231201,0.22338418364524842,0.07599711418151855,1.2544557571411132,0.15312936902046204,0.04932102113962174,0.08338461518287658,0.034063594043254854,0.1712461829185486,0.18255030512809753,0.03580012917518616,0.3948556959629059,0.29708579182624817,0.30805854201316835,0.9181075236137133,0.6565723772586857,0.0,0.0,0.521462905406952,0.2957419216632843,0.000280296802520752,-0.00046498775482177733,-0.00037129223346710205,-0.0010403156280517577,-0.0010650217533111571,-0.006970994174480438,-0.013472028076648712,0.040024998755092335,3.577708763999663,0.05416333534685784,0.02678711071118233,0.005591615744716063,0.003996768764644887,0.1334172463183094,0.029236912057363954,0.0067368974715061,0.005615911054888193,0.011402499761215976,0.016301022846047147,0.04757331469429133,0.03681864842953609,0.003727568120610466,0.0005060118585802618,0.003365190877146789,0.0031284154156813395,0.01464318473328886,0.0,0.0,6.66933094531619e-07,4.600208328273591e-06,0.0007891200026298602,0.0005202733179127573,0.00037405794990096123,0.00643948087925341,0.0027277581641480565,0.0020810720951492823,0.019694586046078554,0.10976066509875339,True,True,True,4
Stage1,S1_017,2.5,0.1,0.0,0.02,45.6,1.1956912755966187,0.7272257328033447,0.22344321608543397,0.07600487619638444,1.2543533086776733,0.15317516028881073,0.04928089678287506,0.08338461518287658,0.03410371840000152,0.17083984315395356,0.18255030512809753,0.03596995770931244,0.3668415307998657,0.29784528017044065,0.33531320095062256,0.9230263229700191,0.6505115432139866,0.0,0.0,0.5235883355140686,0.28515077829360963,0.00026952028274536134,-0.0004059553146362305,-0.0003635302186012268,-0.0011427640914916993,-0.0010192304849624633,-0.0069308698177337645,-0.01330219954252243,0.038549006902538464,3.577708763999663,0.050854411107871894,0.026785921899237935,0.0056158317983614255,0.004005793484850256,0.13359925473992593,0.029319059041095188,0.0068922296302797725,0.005615911054888193,0.011570760162738232,0.01666071858502946,0.04757331469429133,0.03725784510628292,0.0036281739966968433,0.00035528036720104163,0.0034352995386459015,0.002988035133054019,0.01493121017683588,0.0,0.0,2.5687859336718964e-05,0.00010490157892255614,0.0008087753649968191,0.000512590701218602,0.00036066319662743314,0.00624762365164939,0.0026542481909419807,0.002143004237611383,0.0195229510038491,0.11249219960362007,True,True,True,5
Stage1,S1_016,2.5,0.05,0.0,0.02,45.6,1.1981915712356568,0.7271779179573059,0.2234202116727829,0.07601895034313202,1.2543657541275024,0.15319406390190124,0.048898905515670776,0.08338461518287658,0.03448570966720581,0.16969428956508636,0.18255030512809753,0.036220249533653257,0.38154310584068296,0.29761976599693296,0.32083715200424195,0.9204675413392854,0.6536844028790174,0.0,0.0,0.5229145169258118,0.29097983837127683,0.00022170543670654296,-0.0004289597272872925,-0.0003494560718536377,-0.0011303186416625976,-0.0010003268718719483,-0.00654887855052948,-0.01305190771818161,0.03185565788474498,3.577708763999663,0.05025242293822601,0.02681137567306058,0.005615630482792271,0.0040204690599559495,0.13386861654085572,0.029432913811369834,0.00678873943942994,0.005615911054888193,0.011473725894712182,0.016548694428345112,0.04757331469429133,0.037343464741909874,0.003679684585489413,0.00042767927872333134,0.003397535464503557,0.003061528839811659,0.014784413476959468,0.0,0.0,8.163269015297595e-06,4.9353790442704475e-05,0.0007580124444286676,0.0005099497743942127,0.0003455030888904257,0.005956917771724429,0.0025331239938267253,0.002072549816914098,0.018479922847075458,0.10537114446611165,True,True,True,6
Stage1,S1_015,2.5,0.02,0.0,0.02,45.6,1.1996676445007324,0.727150309085846,0.22340654730796813,0.07602770030498504,1.2543768882751465,0.1532067686319351,0.04866987317800522,0.08338461518287658,0.03471474200487137,0.16900380551815034,0.18255030512809753,0.03637059032917023,0.3904115557670593,0.29729838371276857,0.31229008436203004,0.918900050349589,0.6556064699621122,0.0,0.0,0.5220357775688171,0.2942069947719574,0.00019409656524658204,-0.0004426240921020508,-0.0003407061100006104,-0.0011191844940185546,-0.0009876221418380737,-0.006319846212863922,-0.012901566922664642,0.02798774351818061,3.577708763999663,0.049889539131904324,0.026826849079133328,0.005615626932631299,0.004029270310148147,0.1340304419790554,0.02950166983473159,0.006727889242567755,0.005615911054888193,0.011416691780183763,0.016482435535334614,0.04757331469429133,0.0374173156945903,0.0037113662344243816,0.00047879575586872846,0.0033756213536000747,0.0031060579361512526,0.014691333708381731,0.0,0.0,2.7307775471103923e-06,1.892585448994829e-05,0.0007278662198467093,0.0005083039017695689,0.00033640911061548213,0.005782607318056217,0.0024600906922532654,0.002032731629760118,0.0178647902587956,0.10114471227964476,True,True,True,7
Stage1,S1_014,2.5,0.01,0.0,0.02,45.6,1.2001553058624268,0.7271413087844849,0.22340201437473298,0.07603066563606262,1.2543812036514281,0.15321122109889984,0.04859360456466675,0.08338461518287658,0.03479101061820984,0.16877326369285583,0.18255030512809753,0.0364206850528717,0.3933738112449646,0.2971604824066162,0.30946571826934816,0.9183723188773065,0.656250082411282,0.0,0.0,0.5216637253761292,0.29523623585700987,0.00018509626388549805,-0.00044715702533721925,-0.0003377407789230347,-0.0011148691177368165,-0.000983169674873352,-0.006243577599525452,-0.012851472198963165,0.026726223756713054,3.577708763999663,0.04976843532184804,0.0268320450322902,0.005615654451692671,0.004032199555154926,0.1340844576311442,0.029524653113257384,0.006707829314327952,0.005615911054888193,0.011397892863897424,0.016460537707542085,0.04757331469429133,0.037445702990425656,0.003722114462190336,0.0004967947165583565,0.0033685866080900655,0.003120961103266681,0.014659379866543351,0.0,0.0,1.3605013144748279e-06,9.316393790242182e-06,0.0007178988875135946,0.0005077342935817531,0.00033337688321762726,0.005724482228994098,0.0024356971907248375,0.002019884307328876,0.017661916174338398,0.09974801205850745,True,True,True,8
Stage1,S1_013,2.5,0.005,0.0,0.02,45.6,1.2003984451293945,0.7271368384361268,0.22339975833892822,0.07603215724229813,1.2543834924697876,0.15321350693702698,0.048555491119623186,0.08338461518287658,0.034829124063253405,0.16865795254707336,0.18255030512809753,0.03644570708274841,0.3948559105396271,0.2970857977867126,0.30805829763412473,0.9181074879124932,0.6565724222115226,0.0,0.0,0.521462905406952,0.2957420229911804,0.00018062591552734376,-0.00044941306114196775,-0.0003362491726875305,-0.0011125802993774414,-0.0009808838367462158,-0.006205464154481888,-0.012826450169086456,0.02609962573490312,3.577708763999663,0.04970784838852365,0.026834628861043257,0.005615690233923821,0.004033662774532764,0.13411139150150736,0.029536163486854897,0.006697837061631996,0.005615911054888193,0.011388525671537022,0.016449613736235626,0.04757331469429133,0.03746057654473659,0.0037275305417963423,0.0005059703909790661,0.003365136032668666,0.003128416737078173,0.01464322452463116,0.0,0.0,6.866186024072592e-07,4.632828290099514e-06,0.0007129037958506937,0.0005074432671172803,0.00033186906525851164,0.005695515662704396,0.002423484983241504,0.0020135418009345897,0.017560931850143884,0.09904808758992463,True,True,True,9
Stage1,S1_011,2.0,0.1,0.0,0.02,45.6,1.0987679481506347,0.7271139025688171,0.22345678210258485,0.0760479599237442,1.254322600364685,0.15327633619308473,0.04832482635974884,0.08338461518287658,0.03505978882312775,0.16762932240962983,0.18255030512809753,0.036766424775123596,0.3668462514877319,0.2978449761867523,0.3353087842464447,0.9230255915826786,0.650512233130083,0.0,0.0,0.5235887408256531,0.28515282869338987,0.00015769004821777343,-0.00039238929748535155,-0.00032044649124145507,-0.0011734724044799804,-0.0009180545806884765,-0.005974799394607544,-0.012505732476711273,0.022890231445477437,3.577708763999663,0.046183759305285836,0.02684726664383718,0.0056417129599018005,0.004051746380306576,0.1344529364527963,0.029689256601243198,0.006821437278053674,0.005615911054888193,0.011529712166403354,0.016804150723993622,0.04757331469429133,0.03806723660252308,0.0036276793373075937,0.0003545027393522847,0.0034342059502622604,0.002988090332006683,0.01493184395040086,0.0,0.0,2.577401606218928e-05,0.00010534246122074509,0.0007080229858201349,0.000498913349222261,0.00030881135960491196,0.005337942428993405,0.002276249013133355,0.0020485039173731272,0.01694731730168751,0.09838326756344402,True,True,True,10
