Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %,Best Epoch STD,Best Validation Objective STD,CRPS STD,Direction Brier STD,Tail Brier STD,Stress CRPS STD,Stress Tail Brier STD,Mean predicted tail probability STD,Observed tail frequency STD,Tail calibration gap STD,Stress predicted tail probability STD,Stress observed tail frequency STD,Stress tail calibration gap STD,Mean pi_D STD,Mean pi_N STD,Mean pi_T STD,"Corr(risk, pi_T) STD","Corr(dir_unc, pi_D) STD",Risk monotonic violations STD,Dir monotonic violations STD,Delta pi_T risk 0->1 STD,Delta pi_D dir 0->1 STD,CRPS Delta STD,Direction Brier Delta STD,Tail Brier Delta STD,Stress CRPS Delta STD,Stress Tail Brier Delta STD,Tail calibration gap Delta STD,Stress tail calibration gap Delta STD,CRPS Delta % STD,Monotonic OK,CRPS Constraint OK,Eligible,Rank
Stage2,S2_001,3.0,0.05,0.0,0.0,45.6,1.2981553077697754,0.7273035883903504,0.22341257631778716,0.07597746551036835,1.2544447898864746,0.15310194790363313,0.04988638311624527,0.08338461518287658,0.033498232066631314,0.17308541536331176,0.18255030512809753,0.035401958227157596,0.3846174478530884,0.2953403234481812,0.32004222869873045,0.9204679529051694,0.653683970852059,0.0,0.0,0.5562919616699219,0.30955185890197756,0.00034737586975097656,-0.00043659508228302004,-0.00039094090461730955,-0.0010512828826904296,-0.0010924428701400758,-0.007536356151103973,-0.013870199024677277,0.04942480362093522,3.577708763999663,0.05507377592683568,0.02674945487587228,0.005587313664447137,0.003970970493218509,0.13294397004081016,0.02903399325066333,0.006821721324576272,0.005615911054888193,0.011478390591943295,0.016293232752712744,0.04757331469429133,0.036602743769328205,0.003914936574568195,0.00045540865524554784,0.0036151139402062367,0.003061499839531189,0.01478401344815569,0.0,0.0,8.650952517381925e-06,5.225734361944921e-05,0.0008627411308954287,0.0005292894673818543,0.0004015481975554895,0.006937258976381329,0.0029401143693322867,0.002134115725843676,0.0213567679327839,0.12009779793525441,True,True,True,1
Stage3,S3_001,3.0,0.05,0.0,0.0,45.6,1.2981553077697754,0.7273035883903504,0.22341257631778716,0.07597746551036835,1.2544447898864746,0.15310194790363313,0.04988638311624527,0.08338461518287658,0.033498232066631314,0.17308541536331176,0.18255030512809753,0.035401958227157596,0.3846174478530884,0.2953403234481812,0.32004222869873045,0.9204679529051694,0.653683970852059,0.0,0.0,0.5562919616699219,0.30955185890197756,0.00034737586975097656,-0.00043659508228302004,-0.00039094090461730955,-0.0010512828826904296,-0.0010924428701400758,-0.007536356151103973,-0.013870199024677277,0.04942480362093522,3.577708763999663,0.05507377592683568,0.02674945487587228,0.005587313664447137,0.003970970493218509,0.13294397004081016,0.02903399325066333,0.006821721324576272,0.005615911054888193,0.011478390591943295,0.016293232752712744,0.04757331469429133,0.036602743769328205,0.003914936574568195,0.00045540865524554784,0.0036151139402062367,0.003061499839531189,0.01478401344815569,0.0,0.0,8.650952517381925e-06,5.225734361944921e-05,0.0008627411308954287,0.0005292894673818543,0.0004015481975554895,0.006937258976381329,0.0029401143693322867,0.002134115725843676,0.0213567679327839,0.12009779793525441,True,True,True,2
Stage3,S3_003,3.0,0.05,0.01,0.0,45.6,1.2981634616851807,0.7273035645484924,0.22341257333755493,0.07597747296094895,1.2544447660446167,0.15310195684432984,0.049886259436607364,0.08338461518287658,0.03349835574626923,0.17308508455753327,0.18255030512809753,0.035402116179466245,0.3846215963363647,0.2953396260738373,0.32003875970840456,0.9204673039545501,0.6536843879853673,0.0,0.0,0.5562921166419983,0.30955352783203127,0.00034735202789306643,-0.00043659806251525877,-0.0003909334540367126,-0.0010513067245483398,-0.0010924339294433594,-0.0075362324714660645,-0.013870041072368621,0.04942152705653926,3.577708763999663,0.055073896491139716,0.02674945410708919,0.005587317958679009,0.003970971434748199,0.13294402982326695,0.02903400004689738,0.006821635291332298,0.005615911054888193,0.011478318965165817,0.01629312337473982,0.04757331469429133,0.03660260670455843,0.003914429242852398,0.00045494411070830183,0.0036143261020301024,0.003061544465400162,0.014784436209403704,0.0,0.0,8.69359847507072e-06,5.250697031480262e-05,0.0008627456931458382,0.0005292872435308314,0.00040154276647716154,0.0069371615276355835,0.0029401023354755514,0.0021340301438523036,0.021356444791517167,0.1200983442923124,True,True,True,3
Stage3,S3_002,3.0,0.05,0.005,0.0,45.6,1.2981593370437623,0.7273035764694213,0.22341257333755493,0.07597746551036835,1.2544448137283326,0.15310196876525878,0.049886322021484374,0.08338461518287658,0.03349829316139221,0.17308525145053863,0.18255030512809753,0.03540203869342804,0.3846195340156555,0.29533998370170594,0.32004051804542544,0.9204676292867502,0.6536841770605306,0.0,0.0,0.5562920689582824,0.3095527052879333,0.0003473639488220215,-0.00043659806251525877,-0.00039094090461730955,-0.0010512590408325196,-0.0010924220085144043,-0.007536295056343079,-0.01387011855840683,0.04942318725438337,3.577708763999663,0.05507383052624205,0.026749449645300703,0.005587317150062523,0.003970971434748199,0.13294395161441092,0.02903399965381059,0.006821679156440617,0.005615911054888193,0.011478354808451371,0.016293188526375235,0.04757331469429133,0.036602688399850765,0.0039146809079170525,0.00045516075442849697,0.003614732906111066,0.0030615217338669973,0.014784223626932574,0.0,0.0,8.664371121605947e-06,5.236378041258667e-05,0.000862761307933406,0.000529277710672127,0.00040154276647716154,0.00693726601813932,0.0029401055398171104,0.0021340756650159785,0.02135661256123611,0.12010050181793488,True,True,True,4
Stage2,S2_002,3.0,0.05,0.0,0.005,45.6,1.2975150346755981,0.7272993683815002,0.22341102063655854,0.07597894072532654,1.254446840286255,0.15310441851615905,0.049841311573982236,0.08338461518287658,0.03354330360889435,0.17291384041309357,0.18255030512809753,0.03543849289417267,0.3838483154773712,0.29591023325920107,0.32024147510528567,0.9204679318770973,0.6536839906299672,0.0,0.0,0.54794762134552,0.30490866899490354,0.0003431558609008789,-0.0004381507635116577,-0.00038946568965911863,-0.0010492324829101563,-0.0010899722576141358,-0.007491284608840942,-0.013833664357662201,0.04883085660494733,3.577708763999663,0.055008905657085494,0.026752366134929394,0.005588251279452787,0.003973719214395139,0.1329940511768654,0.029056122845595427,0.006826102167309027,0.005615911054888193,0.011483375258496825,0.016321510358132865,0.04757331469429133,0.03664584924372294,0.003856175585712472,0.00044853815654552286,0.0035608755356946824,0.003061500288811223,0.014784029273313596,0.0,0.0,8.549537826197287e-06,5.146075577675685e-05,0.0008570615495488322,0.0005277303279139314,0.0003984989918477951,0.006886268819612126,0.0029173467919715594,0.0021376179261443982,0.021211415364100088,0.11930059985617855,True,True,True,5
Stage3,S3_004,3.0,0.05,0.0,0.005,45.6,1.2975150346755981,0.7272993683815002,0.22341102063655854,0.07597894072532654,1.254446840286255,0.15310441851615905,0.049841311573982236,0.08338461518287658,0.03354330360889435,0.17291384041309357,0.18255030512809753,0.03543849289417267,0.3838483154773712,0.29591023325920107,0.32024147510528567,0.9204679318770973,0.6536839906299672,0.0,0.0,0.54794762134552,0.30490866899490354,0.0003431558609008789,-0.0004381507635116577,-0.00038946568965911863,-0.0010492324829101563,-0.0010899722576141358,-0.007491284608840942,-0.013833664357662201,0.04883085660494733,3.577708763999663,0.055008905657085494,0.026752366134929394,0.005588251279452787,0.003973719214395139,0.1329940511768654,0.029056122845595427,0.006826102167309027,0.005615911054888193,0.011483375258496825,0.016321510358132865,0.04757331469429133,0.03664584924372294,0.003856175585712472,0.00044853815654552286,0.0035608755356946824,0.003061500288811223,0.014784029273313596,0.0,0.0,8.549537826197287e-06,5.146075577675685e-05,0.0008570615495488322,0.0005277303279139314,0.0003984989918477951,0.006886268819612126,0.0029173467919715594,0.0021376179261443982,0.021211415364100088,0.11930059985617855,True,True,True,6
Stage3,S3_005,3.0,0.05,0.005,0.005,45.6,1.2975189447402955,0.7272993564605713,0.22341102063655854,0.07597894221544266,1.2544469118118287,0.1531044214963913,0.04984125345945358,0.08338461518287658,0.033543361723423,0.17291367352008818,0.18255030512809753,0.03543857038021088,0.38385032415390014,0.2959098696708679,0.320239782333374,0.9204676138046131,0.6536841924950892,0.0,0.0,0.5479476928710938,0.3049094557762146,0.00034314393997192383,-0.0004381507635116577,-0.00038946419954299927,-0.0010491609573364258,-0.001089969277381897,-0.0074912264943122866,-0.013833586871623994,0.04882924023839548,3.577708763999663,0.05500891932179896,0.02675236089935611,0.005588251279452787,0.003973727176339053,0.1329941497126034,0.029056132389462936,0.006826067648368304,0.005615911054888193,0.011483347053343864,0.016321451536826712,0.04757331469429133,0.036645786107800206,0.003855932946326435,0.0004483259151908289,0.0035604706945435672,0.003061521932451523,0.014784235537639088,0.0,0.0,8.545568454503662e-06,5.157722889744337e-05,0.0008570816864048643,0.0005277303279139314,0.0003984929592013149,0.006886168373458854,0.002917335762912616,0.002137584347092986,0.021211248202003756,0.11930329847137243,True,True,True,7
Stage3,S3_006,3.0,0.05,0.01,0.005,45.6,1.2975229024887085,0.7272992968559265,0.2234110027551651,0.07597894370555877,1.254446840286255,0.15310442745685576,0.04984119534492493,0.08338461518287658,0.03354341983795166,0.17291351556777954,0.18255030512809753,0.035438638925552365,0.3838523507118225,0.29590954780578616,0.32023811936378477,0.9204672939376568,0.6536844028904863,0.0,0.0,0.5479477405548095,0.30491024255752563,0.00034308433532714844,-0.00043816864490509033,-0.0003894627094268799,-0.0010492324829101563,-0.0010899633169174194,-0.00749116837978363,-0.0138335183262825,0.04882083927538462,3.577708763999663,0.05500898446619492,0.026752407618290897,0.005588240756273359,0.003973729272085605,0.1329941285300117,0.02905614794312301,0.006826025840895509,0.005615911054888193,0.011483311957861187,0.016321403064406194,0.04757331469429133,0.03664572888931077,0.0038557238562283136,0.00044810164653269724,0.0035600843836015032,0.0030615422749232886,0.014784446420429092,0.0,0.0,8.556599167138251e-06,5.1753828728870695e-05,0.0008570289255860612,0.0005277288226225552,0.00039848731849495057,0.00688617666872912,0.002917319107684048,0.002137540788029123,0.02121109379507539,0.11929582888800612,True,True,True,8
Stage2,S2_003,3.0,0.05,0.0,0.01,45.6,1.2968746662139892,0.7272951245307923,0.22340947091579438,0.0759804219007492,1.2544490575790406,0.1531069189310074,0.04979623481631279,0.08338461518287658,0.033588380366563794,0.17274217307567596,0.18255030512809753,0.03547510206699371,0.38307917714118955,0.29648010730743407,0.3204407334327698,0.9204679064071216,0.6536840120575741,0.0,0.0,0.5396032452583313,0.3002654254436493,0.0003389120101928711,-0.00043970048427581786,-0.0003879845142364502,-0.0010470151901245117,-0.001087471842765808,-0.007446207851171493,-0.013797055184841155,0.048233704233590614,3.577708763999663,0.054944140679110944,0.026755259439634617,0.005589174977217495,0.003976482976245766,0.1330442323878637,0.029078297693424657,0.006830448979303954,0.005615911054888193,0.01148833297619011,0.01634964515850702,0.04757331469429133,0.03668976813950623,0.0037974549192395734,0.0004417111520823235,0.0035066217921648503,0.0030615014969187985,0.014784042816658897,0.0,0.0,8.410424477274283e-06,5.071143158612217e-05,0.0008514235627762423,0.0005261548021902149,0.00039544500335224493,0.006835162884169783,0.002894530706797042,0.0021410902700165217,0.02106662829098981,0.11850901897343351,True,True,True,9
Stage3,S3_007,3.0,0.05,0.0,0.01,45.6,1.2968746662139892,0.7272951245307923,0.22340947091579438,0.0759804219007492,1.2544490575790406,0.1531069189310074,0.04979623481631279,0.08338461518287658,0.033588380366563794,0.17274217307567596,0.18255030512809753,0.03547510206699371,0.38307917714118955,0.29648010730743407,0.3204407334327698,0.9204679064071216,0.6536840120575741,0.0,0.0,0.5396032452583313,0.3002654254436493,0.0003389120101928711,-0.00043970048427581786,-0.0003879845142364502,-0.0010470151901245117,-0.001087471842765808,-0.007446207851171493,-0.013797055184841155,0.048233704233590614,3.577708763999663,0.054944140679110944,0.026755259439634617,0.005589174977217495,0.003976482976245766,0.1330442323878637,0.029078297693424657,0.006830448979303954,0.005615911054888193,0.01148833297619011,0.01634964515850702,0.04757331469429133,0.03668976813950623,0.0037974549192395734,0.0004417111520823235,0.0035066217921648503,0.0030615014969187985,0.014784042816658897,0.0,0.0,8.410424477274283e-06,5.071143158612217e-05,0.0008514235627762423,0.0005261548021902149,0.00039544500335224493,0.006835162884169783,0.002894530706797042,0.0021410902700165217,0.02106662829098981,0.11850901897343351,True,True,True,10
