Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,Seed,Method,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %
Verify,VERIFY_01,3.0,0.05,0.0,0.0,48,1.313323974609375,201,monotonic_hybrid,0.7288575172424316,0.22516252100467682,0.07865634560585022,1.179226279258728,0.18041275441646576,0.04951413720846176,0.08769230544567108,0.03817816823720932,0.188467875123024,0.23076923191547394,0.04230135679244995,0.3835633397102356,0.2965375483036041,0.31989914178848267,0.9178833259479603,0.6887912697169573,0,0,0.5562822818756104,0.3094829320907593,0.0003483295440673828,-0.0003798454999923706,-0.0006469637155532837,0.002594470977783203,-0.0028769969940185547,-0.007773824036121368,-0.026792049407958984,0.047814022108339835
Verify,VERIFY_01,3.0,0.05,0.0,0.0,49,1.285286545753479,202,monotonic_hybrid,0.7292343378067017,0.22105595469474792,0.07328923791646957,1.4056037664413452,0.17871014773845673,0.04538764804601669,0.08076923340559006,0.035381585359573364,0.14477287232875824,0.22549019753932953,0.08071732521057129,0.3864777684211731,0.2965891659259796,0.3169330656528473,0.9172880695868836,0.673539118758913,0,0,0.5562782287597656,0.3094530701637268,-0.00011861324310302734,-7.4356794357299805e-06,-0.0005013942718505859,-0.006387829780578613,-0.003659293055534363,-0.005480781197547913,-0.019537106156349182,-0.016262804302402515
Verify,VERIFY_01,3.0,0.05,0.0,0.0,29,1.4605075120925903,203,monotonic_hybrid,0.6948433518409729,0.22538672387599945,0.06793541461229324,1.1649137735366821,0.15585659444332123,0.05559432879090309,0.07384615391492844,0.018251825124025345,0.17327305674552917,0.18691588938236237,0.013642832636833191,0.3856499493122101,0.29715847969055176,0.31719157099723816,0.9181279210792639,0.6972394877030244,0,0,0.5563634037971497,0.3099272847175598,0.0019420981407165527,0.0003230869770050049,-6.474554538726807e-06,0.006646513938903809,-0.0006023943424224854,-0.006777133792638779,-0.019165903329849243,0.28028498005239416
Verify,VERIFY_01,3.0,0.05,0.0,0.0,40,1.3725346326828003,204,monotonic_hybrid,0.743209958076477,0.2244919091463089,0.07554102689027786,1.384630560874939,0.15231448411941528,0.06128518283367157,0.08384615182876587,0.0225609689950943,0.2149335741996765,0.19191919267177582,0.023014381527900696,0.391827255487442,0.2947402596473694,0.313432514667511,0.9130585892522283,0.6636306116971731,0,0,0.556304931640625,0.30965277552604675,0.0009766221046447754,0.0003447532653808594,-0.0003083646297454834,-0.0033425092697143555,0.00022172927856445312,-0.00897584855556488,0.016849949955940247,0.13157885227103813
Verify,VERIFY_01,3.0,0.05,0.0,0.0,42,1.3073137998580933,205,monotonic_hybrid,0.720777690410614,0.21968315541744232,0.07767888158559799,1.156409740447998,0.14923810958862305,0.05282605066895485,0.08846154063940048,0.03563548997044563,0.2146952748298645,0.1818181872367859,0.03287708759307861,0.3916783630847931,0.29770582914352417,0.31061580777168274,0.9145768571343762,0.6855452273688359,0,0,0.5562981367111206,0.3095805048942566,-0.0009604692459106445,-0.00026735663414001465,-0.001200363039970398,0.011498451232910156,0.0010838359594345093,-0.012858539819717407,0.025931403040885925,-0.13307724318854527
Verify,VERIFY_01,3.0,0.05,0.0,0.0,40,1.3583225011825562,206,monotonic_hybrid,0.7234245538711548,0.23103605210781097,0.070235475897789,1.347133994102478,0.17951953411102295,0.05584873631596565,0.07923077046871185,0.0233820341527462,0.1909719705581665,0.2295081913471222,0.03853622078895569,0.38364121317863464,0.29670047760009766,0.3196583092212677,0.9235406763943063,0.6559800494608743,0,0,0.5563069581985474,0.30962222814559937,0.0005666613578796387,-8.01384449005127e-05,-0.0003072768449783325,0.000316619873046875,-0.002376660704612732,-0.005850877612829208,-0.02013474702835083,0.07839180615562444
Verify,VERIFY_01,3.0,0.05,0.0,0.0,42,1.3903858661651611,207,monotonic_hybrid,0.7654560804367065,0.22435718774795532,0.0756165161728859,1.1849766969680786,0.15714503824710846,0.05540502816438675,0.08461538702249527,0.02921035885810852,0.19159680604934692,0.19266055524349213,0.0010637491941452026,0.38875770568847656,0.2954238951206207,0.3158184587955475,0.9134710510818714,0.6695053049075975,0,0,0.556304931640625,0.30961835384368896,0.00024050474166870117,8.392333984375e-05,-0.0004021376371383667,0.006092429161071777,-0.0005717426538467407,-0.0075740814208984375,-0.02459770441055298,0.03142967149489254
Verify,VERIFY_01,3.0,0.05,0.0,0.0,49,1.3421506881713867,208,monotonic_hybrid,0.7834725379943848,0.22610241174697876,0.09006685763597488,1.2821274995803833,0.16616611182689667,0.054471809417009354,0.10000000149011612,0.045528192073106766,0.18292027711868286,0.21698112785816193,0.034060850739479065,0.38637229800224304,0.2947729825973511,0.3188547194004059,0.9198356779675874,0.6809549747904333,0,0,0.5562275052070618,0.3096746802330017,0.000456392765045166,8.690357208251953e-05,-0.0005738064646720886,0.0005695819854736328,-0.002283617854118347,-0.00799139216542244,-0.02533520758152008,0.05828650760598199
Verify,VERIFY_02,3.0,0.05,0.01,0.0,48,1.313331961631775,201,monotonic_hybrid,0.7288574576377869,0.22516252100467682,0.07865634560585022,1.1792265176773071,0.18041275441646576,0.04951411485671997,0.08769230544567108,0.03817819058895111,0.18846780061721802,0.23076923191547394,0.04230143129825592,0.38356590270996094,0.2965364158153534,0.3198976516723633,0.9178828476881237,0.6887912197242247,0,0,0.5562825798988342,0.30948394536972046,0.0003482699394226074,-0.0003798454999923706,-0.0006469637155532837,0.0025947093963623047,-0.0028769969940185547,-0.007773801684379578,-0.026791974902153015,0.04780584037971075
Verify,VERIFY_02,3.0,0.05,0.01,0.0,49,1.2852944135665894,202,monotonic_hybrid,0.7292342782020569,0.22105595469474792,0.07328924536705017,1.4056037664413452,0.1787101775407791,0.04538760334253311,0.08076923340559006,0.035381630063056946,0.1447727531194687,0.22549019753932953,0.08071744441986084,0.38647985458374023,0.2965882420539856,0.31693190336227417,0.9172876740131514,0.6735390450647871,0,0,0.5562783479690552,0.30945396423339844,-0.00011867284774780273,-7.4356794357299805e-06,-0.000501386821269989,-0.006387829780578613,-0.003659263253211975,-0.005480736494064331,-0.01953698694705963,-0.016270976565871058
