Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00022630691528320314,0.0003418420697574176,7.924765348434449e-05,0.0003664316982030867,4,0,16,20
static,Direction Brier,-5.887597799301147e-05,0.00016952588182353288,-0.00013067340478301046,1.6753207892179383e-05,14,0,6,20
static,Tail Brier,-0.00020023733377456666,0.00018972326895973712,-0.0002658274304121733,-0.00010547935031354428,19,0,1,20
static,Stress CRPS,-0.0007113754749298095,0.00249153639347575,-0.0018157540261745453,0.0003461362421512593,12,0,8,20
static,Stress Tail Brier,-0.0009392358362674714,0.000790838601077172,-0.0012653453089296817,-0.0005877286940813068,18,0,2,20
static,Tail calibration gap,-0.0024726474657654762,0.0018789235784826182,-0.0030965538835152984,-0.0015552114835009007,19,0,1,20
static,Stress tail calibration gap,-0.007841205596923828,0.006027968945823241,-0.0100833360850811,-0.004960640296339991,18,0,2,20
prior,CRPS,0.0004352092742919922,0.0004738855394338086,0.0002446472644805908,0.0006455897539854049,3,0,17,20
prior,Direction Brier,8.871629834175109e-05,0.00021389540350864777,-3.9184466004371614e-06,0.00017837038263678547,7,0,13,20
prior,Tail Brier,-0.00041239634156227113,0.00022557995421875328,-0.0005044313427060843,-0.0003138632606714965,18,0,2,20
prior,Stress CRPS,-0.0024451762437820435,0.004937143578363427,-0.004496075138449669,-0.00039141669869423247,14,0,6,20
prior,Stress Tail Brier,-0.0019513495266437531,0.0016246781803869734,-0.002632338088005781,-0.0012683260254561907,19,0,1,20
prior,Tail calibration gap,-0.006009317003190517,0.001996888753855215,-0.006763439890928566,-0.0050907273404300225,19,0,1,20
prior,Stress tail calibration gap,-0.017108649760484696,0.012044920208315693,-0.021423028577119113,-0.011140175499022012,19,0,1,20
neural,CRPS,0.0005616098642349243,0.0007283614855129126,0.00025473423302173613,0.0008713599294424056,5,0,15,20
neural,Direction Brier,0.000315132737159729,0.0004249335217957178,0.00013537412509322165,0.0004951414465904235,4,0,16,20
neural,Tail Brier,-0.0002598736435174942,0.0002892902535992872,-0.0003936254978179932,-0.00014420897699892526,16,0,4,20
neural,Stress CRPS,0.001040184497833252,0.0032582274345397838,-0.000338914543390274,0.0024079045653343195,8,0,12,20
neural,Stress Tail Brier,-0.0002615578472614288,0.0007418038205809611,-0.0005714636296033858,6.548792123794523e-05,13,0,7,20
neural,Tail calibration gap,-0.0031071651726961138,0.003289104197634904,-0.004555068090558051,-0.0017376001924276363,17,0,3,20
neural,Stress tail calibration gap,-0.0035840079188346865,0.0057527178758674915,-0.006178261376917363,-0.0012481198646128236,14,0,6,20
hybrid,CRPS,0.00040872693061828614,0.00048157976425831797,0.00021157868206501008,0.0006220339983701705,3,0,17,20
hybrid,Direction Brier,9.822249412536622e-05,0.00021676642415978403,6.857290863990784e-06,0.00018960682675242416,7,0,13,20
hybrid,Tail Brier,-0.00040780194103717804,0.0002253535387109661,-0.0004989680089056491,-0.00030976455658674243,18,0,2,20
hybrid,Stress CRPS,-0.002483522891998291,0.004818009418637721,-0.004513347744941711,-0.00043033421039581475,15,0,5,20
hybrid,Stress Tail Brier,-0.0019460812211036683,0.0015646834543185052,-0.0026241012662649157,-0.0012886933237314226,19,0,1,20
hybrid,Tail calibration gap,-0.005813831649720669,0.002053769380553535,-0.006603336287662387,-0.00487459532916546,19,0,1,20
hybrid,Stress tail calibration gap,-0.017261918634176254,0.011470275813189618,-0.021353363953530786,-0.011660586334764972,19,0,1,20
monotonic_hybrid,CRPS,0.0005384594202041626,0.0006933244649674902,0.00027311965823173523,0.000857995226979255,2,0,18,20
monotonic_hybrid,Direction Brier,0.00011310651898384094,0.0002201818400887387,2.0723510533571244e-05,0.00021088028326630582,8,0,12,20
monotonic_hybrid,Tail Brier,-0.0004441805183887482,0.0002353178484641717,-0.0005390234757214784,-0.00033908787183463575,18,0,2,20
monotonic_hybrid,Stress CRPS,-0.0025809228420257567,0.005270060581937933,-0.00480597585439682,-0.0003658552467823029,14,0,6,20
monotonic_hybrid,Stress Tail Brier,-0.0020513735711574555,0.0017198274960114586,-0.0027775121293962,-0.001341766901314259,19,0,1,20
monotonic_hybrid,Tail calibration gap,-0.0067206697538495066,0.002549326387402429,-0.007825862634927034,-0.0055966352252289665,19,0,1,20
monotonic_hybrid,Stress tail calibration gap,-0.018283477425575255,0.013242800728221317,-0.023276599906384945,-0.011932006627321244,19,0,1,20
