Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00017203887303670248,0.0003676456473650771,3.9926717678705855e-05,0.00030001019438107804,7,0,23,30
static,Direction Brier,-8.403311173121135e-05,0.00015958803499913608,-0.00014104098081588746,-2.7836797138055202e-05,24,0,6,30
static,Tail Brier,-0.00021876320242881776,0.0001726242521523521,-0.0002717428840696811,-0.00015088098744551348,29,0,1,30
static,Stress CRPS,-0.0007013599077860514,0.002679050125668351,-0.0016292953491210936,0.00025521725416183466,17,0,13,30
static,Stress Tail Brier,-0.000903591513633728,0.000786874385041671,-0.0011811316758394241,-0.0006283464406927426,27,0,3,30
static,Tail calibration gap,-0.002579146871964137,0.0016024034227026516,-0.0030389683165897925,-0.0019257645246883236,29,0,1,30
static,Stress tail calibration gap,-0.007815256218115489,0.005595651278747142,-0.009576958430310091,-0.005757030695676804,27,0,3,30
prior,CRPS,0.00038910706837972004,0.0005012148547429599,0.00020996158321698506,0.0005670990049839019,5,0,25,30
prior,Direction Brier,5.3882598876953125e-05,0.00022022607836268664,-2.3615149160226186e-05,0.00013314941277106602,12,0,18,30
prior,Tail Brier,-0.0004116480549176534,0.00022439529180613967,-0.0004894474210838476,-0.0003314115231235822,28,0,2,30
prior,Stress CRPS,-0.002169889211654663,0.00519404477281656,-0.003973336517810821,-0.00034967496991157587,20,0,10,30
prior,Stress Tail Brier,-0.0018068507313728332,0.0016152102645478389,-0.002371901720762253,-0.0012337705244620644,28,0,2,30
prior,Tail calibration gap,-0.005922522644201914,0.0017811876758085205,-0.006497020861133933,-0.005250681440035502,29,0,1,30
prior,Stress tail calibration gap,-0.015820481876532237,0.012984728256085765,-0.019971814701954523,-0.010918884823719662,27,0,3,30
neural,CRPS,0.00048397580782572427,0.0007643829952206903,0.00021171132723490398,0.0007556937138239543,7,0,23,30
neural,Direction Brier,0.0002443566918373108,0.0004047520680540992,0.00010121249904235204,0.00038710344582796094,8,0,22,30
neural,Tail Brier,-0.0002036730448404948,0.0003676989751085339,-0.00033001481865843136,-6.915003061294557e-05,23,0,7,30
neural,Stress CRPS,0.0010023216406504314,0.003930113311728365,-0.00034309913714726764,0.0024172754089037576,14,0,16,30
neural,Stress Tail Brier,-0.00016699830691019695,0.000990110332553477,-0.0005102811753749847,0.00018773614118496523,18,0,12,30
neural,Tail calibration gap,-0.0025249140957991282,0.00395182485356498,-0.0038663652849694093,-0.001110634713744124,24,0,6,30
neural,Stress tail calibration gap,-0.0028473918636639914,0.006386692804563988,-0.005121990330517292,-0.0006284551446636518,19,0,11,30
hybrid,CRPS,0.00036835273106892904,0.000499345761260588,0.0001935457189877828,0.0005462747315565746,5,0,25,30
hybrid,Direction Brier,6.764382123947144e-05,0.00021584982602743582,-7.801962395509084e-06,0.00014660994211832676,12,0,18,30
hybrid,Tail Brier,-0.0004118372996648153,0.00022412441184929482,-0.0004901240952312946,-0.0003322020669778189,28,0,2,30
hybrid,Stress CRPS,-0.002245090405146281,0.005100192350114501,-0.003992315183083216,-0.00045105730493863423,21,0,9,30
hybrid,Stress Tail Brier,-0.0018252213795979819,0.0015650195902058366,-0.002382417942086856,-0.001286612016459306,28,0,2,30
hybrid,Tail calibration gap,-0.005833404387036959,0.0018139249178755477,-0.0064189754457523425,-0.005139682507142425,29,0,1,30
hybrid,Stress tail calibration gap,-0.015771459539731345,0.012607226031172822,-0.01975015985469023,-0.010962684862315662,27,0,3,30
monotonic_hybrid,CRPS,0.0004186550776163737,0.0007057266046859751,0.00018202369411786398,0.0006776154041290282,5,0,25,30
monotonic_hybrid,Direction Brier,4.967302083969116e-05,0.0002502904811194119,-3.7463530898094174e-05,0.00013622549672921496,13,0,17,30
monotonic_hybrid,Tail Brier,-0.0004618557790915171,0.00024799863550204105,-0.000550803393125534,-0.00037126749753952027,28,0,2,30
monotonic_hybrid,Stress CRPS,-0.002515860398610433,0.005666596707375517,-0.004473178684711456,-0.0004608293374379476,20,0,10,30
monotonic_hybrid,Stress Tail Brier,-0.0019541611274083454,0.0017498984973689283,-0.002580800155798594,-0.001349443482855956,28,0,2,30
monotonic_hybrid,Tail calibration gap,-0.006820022935668627,0.002292630695991194,-0.007632332481443882,-0.0060067724560697875,29,0,1,30
monotonic_hybrid,Stress tail calibration gap,-0.01734974980354309,0.014302131306900868,-0.02186643868684769,-0.01206075232475996,27,0,3,30
