Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00017203887303670248,0.0003676456473650771,3.5211294889450084e-05,0.00029578352967898046,7,0,23,30
static,Direction Brier,-8.403311173121135e-05,0.00015958803499913608,-0.00014092512428760527,-2.8255445261796353e-05,24,0,6,30
static,Tail Brier,-0.00021876320242881776,0.0001726242521523521,-0.00027057106296221416,-0.00015166348467270539,29,0,1,30
static,Stress CRPS,-0.0007013599077860514,0.002679050125668351,-0.0016378405690193176,0.00023106326659520456,17,0,13,30
static,Stress Tail Brier,-0.000903591513633728,0.000786874385041671,-0.0011756884430845578,-0.0006274466713269552,27,0,3,30
static,Tail calibration gap,-0.002579146871964137,0.0016024034227026516,-0.0030342901498079298,-0.0019492052992184966,29,0,1,30
static,Stress tail calibration gap,-0.007815256218115489,0.005595651278747142,-0.009649281588693461,-0.00573188751935959,27,0,3,30
prior,CRPS,0.00038910706837972004,0.0005012148547429599,0.00021263455351193747,0.0005681926508744557,5,0,25,30
prior,Direction Brier,5.3882598876953125e-05,0.00022022607836268664,-2.490679423014323e-05,0.00013062257319688795,12,0,18,30
prior,Tail Brier,-0.0004116480549176534,0.00022439529180613967,-0.0004891606979072093,-0.0003319284444053968,28,0,2,30
prior,Stress CRPS,-0.002169889211654663,0.00519404477281656,-0.003982488811016083,-0.0003212803105513264,20,0,10,30
prior,Stress Tail Brier,-0.0018068507313728332,0.0016152102645478389,-0.0023800007005532584,-0.0012672055885195733,28,0,2,30
prior,Tail calibration gap,-0.005922522644201914,0.0017811876758085205,-0.006506992233917117,-0.005242191143333913,29,0,1,30
prior,Stress tail calibration gap,-0.015820481876532237,0.012984728256085765,-0.019987422985335193,-0.010901156254112726,27,0,3,30
neural,CRPS,0.00048397580782572427,0.0007643829952206903,0.000215671310822169,0.0007467131813367208,7,0,23,30
neural,Direction Brier,0.0002443566918373108,0.0004047520680540992,0.00010628405958414078,0.00038913367937008536,8,0,22,30
neural,Tail Brier,-0.0002036730448404948,0.0003676989751085339,-0.0003312788779536883,-7.129264374574028e-05,23,0,7,30
neural,Stress CRPS,0.0010023216406504314,0.003930113311728365,-0.00038708354036013287,0.002403385589520135,14,0,16,30
neural,Stress Tail Brier,-0.00016699830691019695,0.000990110332553477,-0.000514623907705148,0.00018492216865221658,18,0,12,30
neural,Tail calibration gap,-0.0025249140957991282,0.00395182485356498,-0.003870618625854452,-0.0011178457457572226,24,0,6,30
neural,Stress tail calibration gap,-0.0028473918636639914,0.006386692804563988,-0.005199427058299383,-0.0006705367565155035,19,0,11,30
hybrid,CRPS,0.00036835273106892904,0.000499345761260588,0.00019263505935668946,0.0005463884770870209,5,0,25,30
hybrid,Direction Brier,6.764382123947144e-05,0.00021584982602743582,-6.198833386103309e-06,0.00014504467447598772,12,0,18,30
hybrid,Tail Brier,-0.0004118372996648153,0.00022412441184929482,-0.0004910094228883584,-0.000332461961855491,28,0,2,30
hybrid,Stress CRPS,-0.002245090405146281,0.005100192350114501,-0.0039759113391240435,-0.0004064051806926732,21,0,9,30
hybrid,Stress Tail Brier,-0.0018252213795979819,0.0015650195902058366,-0.002385890098909537,-0.0012876507143179576,28,0,2,30
hybrid,Tail calibration gap,-0.005833404387036959,0.0018139249178755477,-0.006411223042135437,-0.005153426822895805,29,0,1,30
hybrid,Stress tail calibration gap,-0.015771459539731345,0.012607226031172822,-0.019726629927754404,-0.01105542823672295,27,0,3,30
monotonic_hybrid,CRPS,0.0004186550776163737,0.0007057266046859751,0.00018432090679804485,0.000679510086774826,5,0,25,30
monotonic_hybrid,Direction Brier,4.967302083969116e-05,0.0002502904811194119,-3.78096600373586e-05,0.0001376585414012273,13,0,17,30
monotonic_hybrid,Tail Brier,-0.0004618557790915171,0.00024799863550204105,-0.0005480862533052762,-0.00037681414435307187,28,0,2,30
monotonic_hybrid,Stress CRPS,-0.002515860398610433,0.005666596707375517,-0.004462669889132182,-0.0004501940806706759,20,0,10,30
monotonic_hybrid,Stress Tail Brier,-0.0019541611274083454,0.0017498984973689283,-0.0025891393671433134,-0.0013492310543855033,28,0,2,30
monotonic_hybrid,Tail calibration gap,-0.006820022935668627,0.002292630695991194,-0.007626817182948192,-0.006026055865610639,29,0,1,30
monotonic_hybrid,Stress tail calibration gap,-0.01734974980354309,0.014302131306900868,-0.02197461804995934,-0.011895394834379356,27,0,3,30
