Method,Risk Bin,pi_D_mean,pi_D_std,pi_N_mean,pi_N_std,pi_T_mean,pi_T_std
hybrid,High,0.24090935240189235,0.01115094663939168,0.2533077269792557,0.004651839322551129,0.5057829300562541,0.013743650590047611
hybrid,Low,0.451604425907135,0.003936581529737006,0.3215218484401703,0.0022355492700393983,0.22687372316916785,0.001806966774570192
hybrid,Medium,0.3585889091094335,0.004124315397184192,0.3115072896083196,0.002261130643559562,0.3299038052558899,0.004047648665492986
monotonic_hybrid,High,0.23338361382484435,0.004457840413978851,0.2380327860514323,0.0023139566976611396,0.5285835961500803,0.004755926009208705
monotonic_hybrid,Low,0.45963396529356637,0.003947402511918568,0.31013195812702177,0.0021370640207769654,0.23023408402999243,0.0019157017351103753
monotonic_hybrid,Medium,0.3611051579316457,0.0032241125994063526,0.2986174484093984,0.0015876557753258405,0.3402774045864741,0.0027882165345347815
neural,High,0.009209621738409623,0.02382356615294026,0.9402331789334615,0.050257225510523515,0.05055719881008069,0.03726816926679128
neural,Low,0.0013922098694213977,0.00048466623004061153,0.027578838355839252,0.018485295399531216,0.9710289597511291,0.018735219229387225
neural,Medium,0.0067415291676297786,0.008567674790236937,0.4338710432251294,0.08543098090712636,0.5593874245882035,0.08120951679275432
prior,High,0.24742644876241685,0.004685255906245058,0.24162044177452724,0.0023333886153190262,0.5109531025091807,0.004875491517994476
prior,Low,0.4755940626064936,0.004000431376191844,0.3072976440191269,0.0022185593624201396,0.21710829685131708,0.001879194294877574
prior,Medium,0.37714803318182627,0.003258057195428611,0.2987133244673411,0.0016383290014059886,0.3241386483112971,0.0027197892855413317
static,High,0.3500000158945719,1.3404382596710375e-08,0.3500000158945719,1.3404382596710375e-08,0.3000000089406967,9.09354021263343e-09
static,Low,0.3500000059604645,2.1576097876639292e-08,0.3500000059604645,2.1576097876639292e-08,0.3000000158945719,1.0304030884963258e-08
static,Medium,0.35000000695387523,1.5020577102502044e-08,0.35000000695387523,1.5020577102502044e-08,0.29999999900658925,1.502057709883968e-08
