Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,Seed,Method,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %
Stage1,S1_001,0.5,0.005,0.0,0.0,43,0.83118736743927,101,monotonic_hybrid,0.7690008282661438,0.23112696409225464,0.07873091846704483,1.2420834302902222,0.1585274636745453,0.045539818704128265,0.08692307770252228,0.04138325899839401,0.1579199880361557,0.19847328960895538,0.04055330157279968,0.39401957392692566,0.2954481244087219,0.3105323016643524,0.9183605747566089,0.6506775076969942,0,0,0.5547482967376709,0.31462362408638,-4.410743713378906e-05,-7.396936416625977e-05,-0.00011955946683883667,-0.0008043050765991211,-0.0006167888641357422,-0.0015283823013305664,-0.006080418825149536,-0.005735352394389492
Stage1,S1_001,0.5,0.005,0.0,0.0,43,0.7641163468360901,102,monotonic_hybrid,0.7371756434440613,0.21703115105628967,0.08026386797428131,1.490114688873291,0.20413705706596375,0.03737157583236694,0.08923076838254929,0.05185919255018234,0.1438438892364502,0.2539682686328888,0.1101243793964386,0.3976460099220276,0.29521676898002625,0.30713722109794617,0.9233311026000643,0.6427582705088463,0,0,0.55474853515625,0.3146209120750427,-0.0003383755683898926,-6.139278411865234e-05,-0.00023154914379119873,-0.0031502246856689453,-0.0013378709554672241,-0.0015886984765529633,-0.006203055381774902,-0.04588056086621723
Stage1,S1_001,0.5,0.005,0.0,0.0,16,0.7908399105072021,103,monotonic_hybrid,0.708645224571228,0.22281181812286377,0.07880833745002747,1.1715173721313477,0.12799836695194244,0.03913511335849762,0.08538461476564407,0.046249501407146454,0.12810277938842773,0.14159291982650757,0.013490140438079834,0.4009300768375397,0.2944154143333435,0.3046545386314392,0.9162458514389668,0.6448764997259316,0,0,0.5547618865966797,0.3147839903831482,7.18235969543457e-05,-7.718801498413086e-06,-0.00013631582260131836,-0.00014209747314453125,7.227063179016113e-06,-0.0015857182443141937,-0.005391970276832581,0.010136366515535265
Stage1,S1_001,0.5,0.005,0.0,0.0,49,0.8444265723228455,104,monotonic_hybrid,0.718230128288269,0.22744311392307281,0.07238467037677765,1.2308707237243652,0.15065082907676697,0.05250114947557449,0.07999999821186066,0.027498848736286163,0.16095460951328278,0.18110236525535583,0.02014775574207306,0.3972128629684448,0.2943330407142639,0.30845412611961365,0.9172006469880165,0.671202145937854,0,0,0.5547465085983276,0.314621239900589,0.00018745660781860352,-0.0008044242858886719,-0.00020471960306167603,0.001172780990600586,-0.000362396240234375,-0.004971612244844437,-0.010367810726165771,0.026106611098738026
Stage1,S1_001,0.5,0.005,0.0,0.0,43,0.8149452805519104,105,monotonic_hybrid,0.701793372631073,0.2199578583240509,0.07098177075386047,1.140281081199646,0.12774629890918732,0.04834659397602081,0.07538461685180664,0.027038022875785828,0.1768026351928711,0.1376146674156189,0.0391879677772522,0.40458205342292786,0.2942333519458771,0.30118462443351746,0.9153076087052526,0.6733467552748139,0,0,0.5547481775283813,0.3146223723888397,0.00018733739852905273,7.259845733642578e-05,1.9669532775878906e-05,0.0003107786178588867,0.00039787590503692627,-0.0014697499573230743,0.005185917019844055,0.026701223923617
Stage1,S1_001,0.5,0.005,0.0,0.0,50,0.8006851673126221,106,monotonic_hybrid,0.7445268630981445,0.22502249479293823,0.07672839611768723,1.1881951093673706,0.12097533047199249,0.04362006485462189,0.08384615182876587,0.04022608697414398,0.1644875854253769,0.14851485192775726,0.01597273349761963,0.4002746641635895,0.2968573570251465,0.3028680086135864,0.9157544416154312,0.66974892488884,0,0,0.5547475218772888,0.3146093189716339,6.312131881713867e-05,5.336105823516846e-05,-4.693865776062012e-05,0.0006260871887207031,0.00011016428470611572,-0.0012484043836593628,0.006588071584701538,0.008478763339941004
Stage1,S1_001,0.5,0.005,0.0,0.0,42,0.8774857521057129,107,monotonic_hybrid,0.7797709107398987,0.22340013086795807,0.09146375209093094,1.282943844795227,0.15458551049232483,0.04252803698182106,0.10076922923326492,0.05824119225144386,0.148660808801651,0.19130434095859528,0.042643532156944275,0.3955537676811218,0.2968106269836426,0.3076356053352356,0.9221765048223373,0.6791823418189862,0,0,0.5547487735748291,0.31462210416793823,-0.00025719404220581055,1.595914363861084e-05,-0.00019603967666625977,-0.0006351470947265625,-0.0004886984825134277,-0.0015360116958618164,-0.005018636584281921,-0.03297240710033851
Stage1,S1_001,0.5,0.005,0.0,0.0,50,0.7909450531005859,108,monotonic_hybrid,0.735098123550415,0.2233453392982483,0.0835166871547699,1.2922219038009644,0.19384068250656128,0.04478584975004196,0.0930769219994545,0.04829107224941254,0.1604410856962204,0.25,0.0895589143037796,0.400214284658432,0.2939458191394806,0.3058398962020874,0.9173213903625826,0.6930749774784062,0,0,0.554747462272644,0.31460967659950256,-0.0001766681671142578,-7.44163990020752e-05,-0.00015205144882202148,-0.0010200738906860352,-0.0010589510202407837,-0.001426059752702713,-0.005663231015205383,-0.024027502248727774
Stage1,S1_001,0.5,0.005,0.0,0.0,40,0.8251069784164429,109,monotonic_hybrid,0.7248750329017639,0.22141465544700623,0.08151727169752121,1.0570989847183228,0.13634951412677765,0.04181911051273346,0.08769230544567108,0.04587319493293762,0.1555870622396469,0.1599999964237213,0.004412934184074402,0.3988257646560669,0.2964283227920532,0.3047459125518799,0.9171641692014473,0.7002392324907918,0,0,0.5547489523887634,0.3146277666091919,0.0001366138458251953,-5.1647424697875977e-05,-1.3090670108795166e-05,0.0006573200225830078,7.31050968170166e-05,-0.0010542236268520355,-0.0046905577182769775,0.018850090216433083
Stage1,S1_001,0.5,0.005,0.0,0.0,42,0.8483846187591553,110,monotonic_hybrid,0.709230363368988,0.2192842662334442,0.07562725245952606,1.2564176321029663,0.1592867076396942,0.04465271905064583,0.08538461476564407,0.040731895714998245,0.15311643481254578,0.19658119976520538,0.04346476495265961,0.3956199288368225,0.29505637288093567,0.3093236982822418,0.9274758359262812,0.6699704321451004,0,0,0.5547485947608948,0.31462231278419495,-0.00013947486877441406,1.0117888450622559e-05,-0.00014931708574295044,-0.0007423162460327148,-0.0004909634590148926,-0.001175127923488617,-0.0047019124031066895,-0.019661798578989722
