Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,Seed,Method,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %
Verify,VERIFY_01,3.0,0.1,0.0,0.0,48,1.3106175661087036,201,monotonic_hybrid,0.72890305519104,0.2251809984445572,0.07863394170999527,1.1791491508483887,0.18031242489814758,0.04984377324581146,0.08769230544567108,0.03784853219985962,0.18955719470977783,0.23076924681663513,0.0412120521068573,0.36777856945991516,0.2967897653579712,0.33543169498443604,0.9205181380574797,0.6859113778272058,0,0,0.5569716691970825,0.3032040596008301,0.00039380788803100586,-0.0003613680601119995,-0.0006693676114082336,0.0025173425674438477,-0.002977326512336731,-0.008103467524051666,-0.02788136899471283,0.0540566766295568
Verify,VERIFY_01,3.0,0.1,0.0,0.0,49,1.2823060750961304,202,monotonic_hybrid,0.729265570640564,0.2210824340581894,0.0732555016875267,1.4050344228744507,0.17848047614097595,0.04591992869973183,0.08076923340559006,0.03484930470585823,0.14616303145885468,0.22549019753932953,0.07932716608047485,0.3705976903438568,0.29696089029312134,0.33244141936302185,0.919949510682651,0.6706033034114145,0,0,0.5569578409194946,0.3031415343284607,-8.744001388549805e-05,1.901388168334961e-05,-0.000535130500793457,-0.006957292556762695,-0.0038889795541763306,-0.006013073027133942,-0.02092728018760681,-0.011988709528605085
Verify,VERIFY_01,3.0,0.1,0.0,0.0,29,1.459725022315979,203,monotonic_hybrid,0.6949652433395386,0.22541728615760803,0.06794031709432602,1.1651440858840942,0.1558396816253662,0.05599353462457657,0.07384615391492844,0.017852619290351868,0.17440025508403778,0.18691587448120117,0.012515619397163391,0.3709821403026581,0.29696232080459595,0.33205553889274597,0.920337496403363,0.6946902271474727,0,0,0.5572174191474915,0.30416440963745117,0.002063930034637451,0.0003536641597747803,-1.5720725059509277e-06,0.006876945495605469,-0.0006193220615386963,-0.007176350802183151,-0.020293116569519043,0.2978678197033881
Verify,VERIFY_01,3.0,0.1,0.0,0.0,40,1.3703891038894653,204,monotonic_hybrid,0.743289053440094,0.22450701892375946,0.07553369551897049,1.384630560874939,0.15238496661186218,0.06188288331031799,0.08384615182876587,0.021963268518447876,0.216666579246521,0.19191919267177582,0.024747386574745178,0.37629881501197815,0.29506170749664307,0.3286394774913788,0.915707323237078,0.6601509973970422,0,0,0.5570585131645203,0.3035605251789093,0.0010557174682617188,0.0003598630428314209,-0.00031570345163345337,-0.0033425092697143555,0.00029221177101135254,-0.009573549032211304,0.01858292520046234,0.14223525367254364
Verify,VERIFY_01,3.0,0.1,0.0,0.0,42,1.3044023513793945,205,monotonic_hybrid,0.7208313941955566,0.21972839534282684,0.07764510065317154,1.1571171283721924,0.14936590194702148,0.053352002054452896,0.08846154063940048,0.035109538584947586,0.2163083255290985,0.1818181872367859,0.03449013829231262,0.3760324716567993,0.29808753728866577,0.3258799910545349,0.9171081758518567,0.6827598159747553,0,0,0.5570223331451416,0.3034127354621887,-0.0009067654609680176,-0.00022214651107788086,-0.0012341439723968506,0.012205719947814941,0.001211613416671753,-0.013384498655796051,0.02754443883895874,-0.12563634731459225
Verify,VERIFY_01,3.0,0.1,0.0,0.0,40,1.3566657304763794,206,monotonic_hybrid,0.7234845161437988,0.231068417429924,0.07021962106227875,1.3469427824020386,0.17940911650657654,0.05629326403141022,0.07923077046871185,0.022937506437301636,0.19221095740795135,0.2295081913471222,0.03729723393917084,0.36822134256362915,0.296830415725708,0.33494824171066284,0.9258779327015837,0.6532286393809055,0,0,0.5570471286773682,0.3035045266151428,0.0006266236305236816,-4.780292510986328e-05,-0.0003231316804885864,0.00012540817260742188,-0.002487078309059143,-0.0062954239547252655,-0.021373748779296875,0.08668697361040072
Verify,VERIFY_01,3.0,0.1,0.0,0.0,42,1.3880829811096191,207,monotonic_hybrid,0.7655227184295654,0.22440293431282043,0.0755949541926384,1.1852209568023682,0.15714266896247864,0.05589769408106804,0.08461538702249527,0.02871769294142723,0.19291478395462036,0.19266054034233093,0.0002542436122894287,0.37323036789894104,0.2956750690937042,0.33109456300735474,0.916167531530608,0.6660758937425675,0,0,0.5570458173751831,0.30349254608154297,0.0003071427345275879,0.0001296699047088623,-0.0004237070679664612,0.006336808204650879,-0.0005741119384765625,-0.008066758513450623,-0.025407209992408752,0.04013806622383675
Verify,VERIFY_01,3.0,0.1,0.0,0.0,49,1.3396919965744019,208,monotonic_hybrid,0.7834864258766174,0.22612041234970093,0.09002722799777985,1.2820780277252197,0.16605861485004425,0.05511927604675293,0.10000000149011612,0.04488072544336319,0.1845977008342743,0.21698114275932312,0.03238344192504883,0.37081894278526306,0.2952067255973816,0.33397433161735535,0.922349175004501,0.678060332600062,0,0,0.5569841861724854,0.30352920293807983,0.00047028064727783203,0.0001049339771270752,-0.0006134435534477234,0.0005199909210205078,-0.002391114830970764,-0.008638869971036911,-0.0270126610994339,0.06006014692584536
Verify,VERIFY_01,3.0,0.1,0.0,0.0,48,1.382996916770935,209,monotonic_hybrid,0.7249628901481628,0.2246933877468109,0.07979515939950943,1.3365365266799927,0.1878163367509842,0.04914408177137375,0.08923076838254929,0.04008668661117554,0.19131669402122498,0.25,0.058683305978775024,0.3750363886356354,0.2971435785293579,0.3278200030326843,0.9179217127964099,0.672908363373934,0,0,0.556959867477417,0.3031620383262634,8.541345596313477e-05,-0.00038304924964904785,-0.0005733221769332886,-0.005527615547180176,-0.004082083702087402,-0.007006116211414337,-0.026428356766700745,0.011783157665885563
Verify,VERIFY_01,3.0,0.1,0.0,0.0,49,1.3078868389129639,210,monotonic_hybrid,0.7259330153465271,0.2305177003145218,0.07072383165359497,1.0814118385314941,0.12491140514612198,0.0547897033393383,0.07846153527498245,0.02367183193564415,0.1800488978624344,0.1465517282485962,0.033497169613838196,0.36757707595825195,0.29708558320999146,0.335337370634079,0.9241886090185334,0.6749546194408159,0,0,0.5569648146629333,0.30316829681396484,0.0011935234069824219,-0.00010548532009124756,-0.0003406628966331482,0.009037137031555176,0.0011469647288322449,-0.008568160235881805,0.029464036226272583,0.1646830923741053
