Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00017203887303670248,0.0003676456473650771,3.856346011161804e-05,0.00029661973317464163,7,0,23,30
static,Direction Brier,-8.403311173121135e-05,0.00015958803499913608,-0.0001411643500129382,-2.9677636921405808e-05,24,0,6,30
static,Tail Brier,-0.00021876320242881776,0.0001726242521523521,-0.0002720055232445399,-0.00014996350432435672,29,0,1,30
static,Stress CRPS,-0.0007013599077860514,0.002679050125668351,-0.0016431703170140585,0.00023231893777847257,17,0,13,30
static,Stress Tail Brier,-0.000903591513633728,0.000786874385041671,-0.0011764538163940113,-0.00062515194217364,27,0,3,30
static,Tail calibration gap,-0.002579146871964137,0.0016024034227026516,-0.003042603116482496,-0.0019325149649133285,29,0,1,30
static,Stress tail calibration gap,-0.007815256218115489,0.005595651278747142,-0.009645723104476929,-0.005692891788979373,27,0,3,30
prior,CRPS,0.00038910706837972004,0.0005012148547429599,0.00021638328830401104,0.000568587730328242,5,0,25,30
prior,Direction Brier,5.3882598876953125e-05,0.00022022607836268664,-2.4387563268343608e-05,0.00013298218448956804,12,0,18,30
prior,Tail Brier,-0.0004116480549176534,0.00022439529180613967,-0.0004887643208106359,-0.00033116990700364117,28,0,2,30
prior,Stress CRPS,-0.002169889211654663,0.00519404477281656,-0.0039173892140388486,-0.0002955827613671637,20,0,10,30
prior,Stress Tail Brier,-0.0018068507313728332,0.0016152102645478389,-0.0023857373247543967,-0.0012531315907835963,28,0,2,30
prior,Tail calibration gap,-0.005922522644201914,0.0017811876758085205,-0.00649755988890926,-0.005260167215019465,29,0,1,30
prior,Stress tail calibration gap,-0.015820481876532237,0.012984728256085765,-0.019968742690980437,-0.010919984752933185,27,0,3,30
neural,CRPS,0.00048397580782572427,0.0007643829952206903,0.00022344743212064107,0.0007569772005081176,7,0,23,30
neural,Direction Brier,0.0002443566918373108,0.0004047520680540992,0.00010382238775491715,0.0003869614129265149,8,0,22,30
neural,Tail Brier,-0.0002036730448404948,0.0003676989751085339,-0.00033122372503081957,-7.00938329100609e-05,23,0,7,30
neural,Stress CRPS,0.0010023216406504314,0.003930113311728365,-0.00037009060382843013,0.0024187992513179774,14,0,16,30
neural,Stress Tail Brier,-0.00016699830691019695,0.000990110332553477,-0.000502396747469902,0.00018814743806918452,18,0,12,30
neural,Tail calibration gap,-0.0025249140957991282,0.00395182485356498,-0.00386402388724188,-0.0011510551472504935,24,0,6,30
neural,Stress tail calibration gap,-0.0028473918636639914,0.006386692804563988,-0.005178888800243537,-0.000685136678318183,19,0,11,30
hybrid,CRPS,0.0003549396991729736,0.0005148159948941007,0.000174382080634435,0.0005399542550245921,6,0,24,30
hybrid,Direction Brier,7.926424344380696e-05,0.00022379909435741083,2.3992111285527563e-06,0.0001607151702046394,10,0,20,30
hybrid,Tail Brier,-0.0004423285524050395,0.00020601924076510706,-0.0005146329477429389,-0.0003674974913398425,30,0,0,30
hybrid,Stress CRPS,-0.0025532424449920656,0.005264181045168545,-0.00435716986656189,-0.0006951235234737399,22,0,8,30
hybrid,Stress Tail Brier,-0.0019131049513816834,0.0016127413508853754,-0.0024984918783108392,-0.0013669802993535997,28,0,2,30
hybrid,Tail calibration gap,-0.0060823500156402584,0.001300774671390679,-0.0065180616360157725,-0.005621586764852206,30,0,0,30
hybrid,Stress tail calibration gap,-0.016490375498930614,0.012428185100630687,-0.020411467887461184,-0.011658226090172927,27,0,3,30
monotonic_hybrid,CRPS,0.00045682986577351886,0.0007307656685065226,0.00021489123503367106,0.0007222477098306019,5,0,25,30
monotonic_hybrid,Direction Brier,7.363011439641317e-05,0.0002541938709134625,-1.5869028866291044e-05,0.00016305965681870775,11,0,19,30
monotonic_hybrid,Tail Brier,-0.0004846480985482534,0.00025508769501564533,-0.0005749588335553805,-0.00039122347409526506,29,0,1,30
monotonic_hybrid,Stress CRPS,-0.0026481052239735923,0.0059846109896442325,-0.00470792164405187,-0.0005071946978569034,20,0,10,30
monotonic_hybrid,Stress Tail Brier,-0.0020306224624315897,0.0018469913354900315,-0.002672935426235199,-0.0013834622129797938,27,0,3,30
monotonic_hybrid,Tail calibration gap,-0.007239613557855288,0.0022896068726068965,-0.008060170502091447,-0.006437157376979788,30,0,0,30
monotonic_hybrid,Stress tail calibration gap,-0.018004525701204935,0.015208317830245082,-0.022826226018369197,-0.012240284867584706,27,0,3,30
