Method,Risk Bin,pi_D_mean,pi_D_std,pi_N_mean,pi_N_std,pi_T_mean,pi_T_std
hybrid,High,0.23458944509426752,0.021192815788545597,0.26520309696594874,0.009698278924678656,0.5002074619134267,0.027209106626293954
hybrid,Low,0.4278396040201187,0.0038562412895441563,0.3356343964735667,0.0022626176792038062,0.23652600745360056,0.0017453045155890916
hybrid,Medium,0.3404124150673548,0.007065939066491608,0.32429966429869334,0.0038116971840966405,0.3352879206339518,0.008497099156160448
monotonic_hybrid,High,0.2198012818892797,0.0042375915932527175,0.23415206819772721,0.0022964357223537162,0.546046660343806,0.004633297112520206
monotonic_hybrid,Low,0.4436041961113612,0.00390402876248276,0.312564950188001,0.0020608527308761298,0.24383085866769155,0.001956933105198518
monotonic_hybrid,Medium,0.3452227433522542,0.0032011476469933874,0.2980764190355937,0.0015446312106015274,0.3567008405923843,0.002858501810343454
neural,High,0.009209621738409623,0.02382356615294026,0.9402331789334615,0.050257225510523515,0.05055719881008069,0.03726816926679128
neural,Low,0.0013922098694213977,0.00048466623004061153,0.027578838355839252,0.018485295399531216,0.9710289597511291,0.018735219229387225
neural,Medium,0.0067415291676297786,0.008567674790236937,0.4338710432251294,0.08543098090712636,0.5593874245882035,0.08120951679275432
prior,High,0.24742644876241685,0.004685255906245058,0.24162044177452724,0.0023333886153190262,0.5109531025091807,0.004875491517994476
prior,Low,0.4755940626064936,0.004000431376191844,0.3072976440191269,0.0022185593624201396,0.21710829685131708,0.001879194294877574
prior,Medium,0.37714803318182627,0.003258057195428611,0.2987133244673411,0.0016383290014059886,0.3241386483112971,0.0027197892855413317
static,High,0.3500000158945719,1.3404382596710375e-08,0.3500000158945719,1.3404382596710375e-08,0.3000000089406967,9.09354021263343e-09
static,Low,0.3500000059604645,2.1576097876639292e-08,0.3500000059604645,2.1576097876639292e-08,0.3000000158945719,1.0304030884963258e-08
static,Medium,0.35000000695387523,1.5020577102502044e-08,0.35000000695387523,1.5020577102502044e-08,0.29999999900658925,1.502057709883968e-08
