Stage,Config ID,lambda_fin,hybrid_delta,prior_kl_weight,min_allocation,Best Epoch,Best Validation Objective,Seed,Method,CRPS,Direction Brier,Tail Brier,Stress CRPS,Stress Tail Brier,Mean predicted tail probability,Observed tail frequency,Tail calibration gap,Stress predicted tail probability,Stress observed tail frequency,Stress tail calibration gap,Mean pi_D,Mean pi_N,Mean pi_T,"Corr(risk, pi_T)","Corr(dir_unc, pi_D)",Risk monotonic violations,Dir monotonic violations,Delta pi_T risk 0->1,Delta pi_D dir 0->1,CRPS Delta,Direction Brier Delta,Tail Brier Delta,Stress CRPS Delta,Stress Tail Brier Delta,Tail calibration gap Delta,Stress tail calibration gap Delta,CRPS Delta %
Stage1,S1_001,0.5,0.005,0.0,0.0,43,0.8311873078346252,101,monotonic_hybrid,0.7690007090568542,0.23112696409225464,0.07873092591762543,1.2420833110809326,0.1585274338722229,0.04553981497883797,0.08692307770252228,0.04138326272368431,0.1579199880361557,0.19847328960895538,0.04055330157279968,0.39401957392692566,0.2954481244087219,0.3105323016643524,0.9183605715761244,0.6506775051640835,0,0,0.5547481775283813,0.31462362408638,-4.4226646423339844e-05,-7.396936416625977e-05,-0.00011954456567764282,-0.0008045434951782227,-0.0006168186664581299,-0.0015283748507499695,-0.006080403923988342,-0.0057508533468067615
Stage1,S1_001,0.5,0.005,0.0,0.0,43,0.7641162872314453,102,monotonic_hybrid,0.7371756434440613,0.21703115105628967,0.08026386797428131,1.490114688873291,0.20413704216480255,0.03737157583236694,0.08923076838254929,0.05185919255018234,0.143843874335289,0.2539682686328888,0.11012439429759979,0.3976460099220276,0.29521676898002625,0.30713722109794617,0.9233311024980675,0.6427582737719914,0,0,0.5547484159469604,0.3146209120750427,-0.0003383159637451172,-6.142258644104004e-05,-0.00023154914379119873,-0.0031501054763793945,-0.0013378411531448364,-0.0015886910259723663,-0.006203025579452515,-0.04587248274144819
Stage1,S1_001,0.5,0.005,0.0,0.0,16,0.7908399105072021,103,monotonic_hybrid,0.7086451649665833,0.22281181812286377,0.07880833745002747,1.171517252922058,0.12799836695194244,0.03913510963320732,0.08538461476564407,0.04624950513243675,0.12810277938842773,0.14159291982650757,0.013490140438079834,0.4009300470352173,0.2944154143333435,0.3046545386314392,0.916245853286475,0.644876503996647,0,0,0.5547618269920349,0.3147839605808258,7.176399230957031e-05,-7.748603820800781e-06,-0.00013630837202072144,-0.00014209747314453125,7.212162017822266e-06,-0.0015856996178627014,-0.005391933023929596,0.010127954593115733
Stage1,S1_001,0.5,0.005,0.0,0.0,49,0.8444265723228455,104,monotonic_hybrid,0.7182301878929138,0.22744309902191162,0.07238467037677765,1.2308707237243652,0.15065084397792816,0.05250114947557449,0.07999999821186066,0.027498848736286163,0.1609545797109604,0.18110236525535583,0.020147785544395447,0.3972128629684448,0.2943330407142639,0.30845412611961365,0.9172006464799062,0.6712021425499045,0,0,0.5547464489936829,0.3146211802959442,0.0001875162124633789,-0.0008044242858886719,-0.00020472705364227295,0.0011726617813110352,-0.00036238133907318115,-0.004971601068973541,-0.010367751121520996,0.02611491208795861
Stage1,S1_001,0.5,0.005,0.0,0.0,43,0.8149452805519104,105,monotonic_hybrid,0.701793372631073,0.2199578583240509,0.07098177075386047,1.140281081199646,0.1277463138103485,0.04834659770131111,0.07538461685180664,0.02703801915049553,0.1768026500940323,0.1376146823167801,0.0391879677772522,0.40458205342292786,0.2942333221435547,0.30118462443351746,0.9153076082910894,0.673346750533024,0,0,0.5547482967376709,0.3146223723888397,0.00018727779388427734,7.259845733642578e-05,1.9669532775878906e-05,0.0003107786178588867,0.00039787590503692627,-0.0014697462320327759,0.005185917019844055,0.02669272619812918
Stage1,S1_001,0.5,0.005,0.0,0.0,50,0.8006851077079773,106,monotonic_hybrid,0.7445268630981445,0.22502249479293823,0.07672839611768723,1.1881951093673706,0.12097533047199249,0.04362006112933159,0.08384615182876587,0.04022609069943428,0.16448760032653809,0.14851485192775726,0.015972748398780823,0.4002746641635895,0.2968573570251465,0.3028680086135864,0.9157544434956124,0.6697489320206732,0,0,0.554747462272644,0.3146093785762787,6.312131881713867e-05,5.334615707397461e-05,-4.693865776062012e-05,0.0006260871887207031,0.0001101568341255188,-0.001248389482498169,0.006588086485862732,0.008478763339941004
Stage1,S1_001,0.5,0.005,0.0,0.0,42,0.8774858713150024,107,monotonic_hybrid,0.7797709107398987,0.22340014576911926,0.09146375954151154,1.2829437255859375,0.15458549559116364,0.04252803698182106,0.10076922923326492,0.05824119225144386,0.1486607939004898,0.19130434095859528,0.04264354705810547,0.3955537676811218,0.2968105971813202,0.3076355755329132,0.9221765059492419,0.6791823452499064,0,0,0.5547488331794739,0.3146219849586487,-0.00025719404220581055,1.595914363861084e-05,-0.00019603222608566284,-0.0006352663040161133,-0.0004887133836746216,-0.0015359967947006226,-0.005018606781959534,-0.03297240710033851
Stage1,S1_001,0.5,0.005,0.0,0.0,50,0.7909450531005859,108,monotonic_hybrid,0.7350980043411255,0.22334535419940948,0.0835166946053505,1.2922217845916748,0.19384068250656128,0.04478585347533226,0.0930769219994545,0.04829106852412224,0.1604410856962204,0.25,0.0895589143037796,0.400214284658432,0.2939458191394806,0.3058398962020874,0.9173213916976785,0.6930749790152493,0,0,0.554747462272644,0.31460970640182495,-0.0001767277717590332,-7.440149784088135e-05,-0.00015205144882202148,-0.0010199546813964844,-0.001058921217918396,-0.0014260485768318176,-0.0056632161140441895,-0.024035610641914555
Stage1,S1_001,0.5,0.005,0.0,0.0,40,0.8251069188117981,109,monotonic_hybrid,0.7248750329017639,0.22141462564468384,0.08151726424694061,1.0570989847183228,0.13634951412677765,0.04181910678744316,0.08769230544567108,0.04587319865822792,0.15558704733848572,0.1599999964237213,0.004412949085235596,0.3988257646560669,0.2964283227920532,0.30474594235420227,0.9171641697924889,0.7002392353588217,0,0,0.5547489523887634,0.3146277964115143,0.0001366138458251953,-5.167722702026367e-05,-1.309812068939209e-05,0.0006574392318725586,7.31050968170166e-05,-0.0010542124509811401,-0.004690513014793396,0.018850090216433083
Stage1,S1_001,0.5,0.005,0.0,0.0,42,0.8483844995498657,110,monotonic_hybrid,0.7092304229736328,0.2192842662334442,0.07562725245952606,1.2564175128936768,0.15928669273853302,0.04465271905064583,0.08538461476564407,0.040731895714998245,0.15311641991138458,0.19658119976520538,0.0434647798538208,0.3956199288368225,0.29505637288093567,0.3093236982822418,0.9274758365599354,0.6699704340471379,0,0,0.5547486543655396,0.31462234258651733,-0.00013935565948486328,1.0117888450622559e-05,-0.0001493319869041443,-0.0007425546646118164,-0.0004909783601760864,-0.00117512047290802,-0.004701867699623108,-0.019644995273605713
Stage1,S1_002,0.5,0.01,0.0,0.0,43,0.8311405181884766,101,monotonic_hybrid,0.7690010666847229,0.23112794756889343,0.078730009496212,1.24207603931427,0.1585240513086319,0.0455520860850811,0.08692307770252228,0.04137099161744118,0.15795908868312836,0.19847328960895538,0.040514200925827026,0.3924577832221985,0.29551106691360474,0.3120311498641968,0.9186293907994215,0.6503390716678056,0,0,0.5549622774124146,0.31408992409706116,-4.38690185546875e-05,-7.298588752746582e-05,-0.00012046098709106445,-0.0008118152618408203,-0.0006202012300491333,-0.001540645956993103,-0.0061195045709609985,-0.005704350489554954
Stage1,S1_002,0.5,0.01,0.0,0.0,43,0.7640487551689148,102,monotonic_hybrid,0.7371745705604553,0.21703191101551056,0.08026278018951416,1.4900989532470703,0.20413066446781158,0.03737879917025566,0.08923076838254929,0.051851969212293625,0.14387372136116028,0.2539682686328888,0.11009454727172852,0.3960757255554199,0.2952897846698761,0.30863454937934875,0.9235785012189007,0.6424459192362403,0,0,0.5549628734588623,0.314084529876709,-0.0003393888473510742,-6.066262722015381e-05,-0.0002326369285583496,-0.0031658411026000977,-0.0013442188501358032,-0.001595914363861084,-0.0062328726053237915,-0.046017955731114515
Stage1,S1_002,0.5,0.01,0.0,0.0,16,0.7907965183258057,103,monotonic_hybrid,0.7086457014083862,0.22281230986118317,0.07880762964487076,1.171518087387085,0.12799875438213348,0.03914381191134453,0.08538461476564407,0.046240802854299545,0.12812715768814087,0.14159291982650757,0.0134657621383667,0.399790495634079,0.2942945957183838,0.30591487884521484,0.916435485161464,0.6445192195517863,0,0,0.55499267578125,0.314412385225296,7.230043411254883e-05,-7.256865501403809e-06,-0.0001370161771774292,-0.00014126300811767578,7.599592208862305e-06,-0.0015944018959999084,-0.005416311323642731,0.010203661894891516
Stage1,S1_002,0.5,0.01,0.0,0.0,49,0.8443928956985474,104,monotonic_hybrid,0.7182324528694153,0.22744379937648773,0.07238414138555527,1.230875015258789,0.15064993500709534,0.05251571163535118,0.07999999821186066,0.027484286576509476,0.16099080443382263,0.18110236525535583,0.020111560821533203,0.3956432640552521,0.2944149076938629,0.309941828250885,0.9174741445925513,0.6708909327928886,0,0,0.5549587607383728,0.3140850365161896,0.00018978118896484375,-0.000803723931312561,-0.00020525604486465454,0.0011769533157348633,-0.00036329030990600586,-0.004986163228750229,-0.01040397584438324,0.02643034967834082
Stage1,S1_002,0.5,0.01,0.0,0.0,43,0.8148998618125916,105,monotonic_hybrid,0.7017955780029297,0.21995875239372253,0.07098191231489182,1.1402859687805176,0.12775003910064697,0.04835981875658035,0.07538461685180664,0.027024798095226288,0.17684221267700195,0.1376146823167801,0.03922753036022186,0.40301287174224854,0.29432162642478943,0.30266544222831726,0.9155614126472396,0.6730523806003373,0,0,0.5549623370170593,0.3140873312950134,0.0001894831657409668,7.349252700805664e-05,1.981109380722046e-05,0.00031566619873046875,0.0004016011953353882,-0.0014829672873020172,0.005225479602813721,0.027007058110710587
Stage1,S1_002,0.5,0.01,0.0,0.0,50,0.8006225824356079,106,monotonic_hybrid,0.7445269227027893,0.22502298653125763,0.07672779262065887,1.1882034540176392,0.12097679078578949,0.04363095387816429,0.08384615182876587,0.04021519795060158,0.1645306944847107,0.14851485192775726,0.01601584255695343,0.3986695408821106,0.2969523072242737,0.3043781816959381,0.916025324199517,0.669448303032772,0,0,0.5549604892730713,0.31406116485595703,6.318092346191406e-05,5.383789539337158e-05,-4.754215478897095e-05,0.0006344318389892578,0.00011161714792251587,-0.0012592822313308716,0.006631180644035339,0.008486769726475414
Stage1,S1_002,0.5,0.01,0.0,0.0,42,0.8774474263191223,107,monotonic_hybrid,0.7797698974609375,0.22340098023414612,0.091462641954422,1.2829351425170898,0.15458273887634277,0.04253759980201721,0.10076922923326492,0.05823162943124771,0.14869073033332825,0.19130434095859528,0.04261361062526703,0.3939926028251648,0.296875,0.3091323971748352,0.9224267750576597,0.6788966301136892,0,0,0.5549635887145996,0.31408679485321045,-0.0002582073211669922,1.679360866546631e-05,-0.00019714981317520142,-0.0006438493728637695,-0.0004914700984954834,-0.0015455596148967743,-0.005048543214797974,-0.03310230997883347
Stage1,S1_002,0.5,0.01,0.0,0.0,50,0.7908898591995239,108,monotonic_hybrid,0.7350984811782837,0.22334645688533783,0.08351583778858185,1.2922145128250122,0.19383518397808075,0.044794268906116486,0.0930769219994545,0.04828265309333801,0.160471111536026,0.25,0.089528888463974,0.39861389994621277,0.29403403401374817,0.30735206604003906,0.9175795682779017,0.692820193700146,0,0,0.5549605488777161,0.3140619695186615,-0.00017625093460083008,-7.329881191253662e-05,-0.00015290826559066772,-0.001027226448059082,-0.0010644197463989258,-0.001434464007616043,-0.0056932419538497925,-0.02397075907863114
Stage1,S1_002,0.5,0.01,0.0,0.0,40,0.8250699043273926,109,monotonic_hybrid,0.7248757481575012,0.22141554951667786,0.08151651173830032,1.0571016073226929,0.1363493949174881,0.041831355541944504,0.08769230544567108,0.04586094990372658,0.15562734007835388,0.1599999964237213,0.004372656345367432,0.3972746729850769,0.29649490118026733,0.3062303960323334,0.9174283564752223,0.6999551549767863,0,0,0.5549639463424683,0.3140983581542969,0.0001373291015625,-5.075335502624512e-05,-1.3850629329681396e-05,0.0006600618362426758,7.298588752746582e-05,-0.001066461205482483,-0.00473080575466156,0.01894878178824687
Stage1,S1_002,0.5,0.01,0.0,0.0,42,0.8483390212059021,110,monotonic_hybrid,0.7092292904853821,0.2192850261926651,0.07562623172998428,1.2564111948013306,0.1592838019132614,0.04466080665588379,0.08538461476564407,0.040723808109760284,0.15314793586730957,0.19658119976520538,0.04343326389789581,0.39405912160873413,0.2951221764087677,0.31081870198249817,0.927722616324545,0.669718917496832,0,0,0.5549630522727966,0.3140873610973358,-0.0001404881477355957,1.0877847671508789e-05,-0.00015035271644592285,-0.0007488727569580078,-0.0004938691854476929,-0.0011832080781459808,-0.004733383655548096,-0.019804642369499
Stage1,S1_003,0.5,0.02,0.0,0.0,43,0.8310467600822449,101,monotonic_hybrid,0.7690015435218811,0.231129989027977,0.07872817665338516,1.2420613765716553,0.15851730108261108,0.04557662829756737,0.08692307770252228,0.04134644940495491,0.1580372452735901,0.19847328960895538,0.040436044335365295,0.38933631777763367,0.29562485218048096,0.3150387704372406,0.919165182699784,0.6496632565495682,0,0,0.5553592443466187,0.313003808259964,-4.3392181396484375e-05,-7.094442844390869e-05,-0.00012229382991790771,-0.0008264780044555664,-0.0006269514560699463,-0.0015651881694793701,-0.0061976611614227295,-0.005642346679885879
Stage1,S1_003,0.5,0.02,0.0,0.0,43,0.7639133930206299,102,monotonic_hybrid,0.7371724843978882,0.21703343093395233,0.08026060461997986,1.490067720413208,0.20411786437034607,0.03739321604371071,0.08923076838254929,0.05183755233883858,0.14393334090709686,0.2539682686328888,0.11003492772579193,0.3929375410079956,0.29542380571365356,0.3116386830806732,0.9240712368119015,0.6418228674734843,0,0,0.5553598999977112,0.31299299001693726,-0.0003414750099182129,-5.914270877838135e-05,-0.00023481249809265137,-0.0031970739364624023,-0.0013570189476013184,-0.0016103312373161316,-0.006292492151260376,-0.04630081987768793
Stage1,S1_003,0.5,0.02,0.0,0.0,16,0.7907095551490784,103,monotonic_hybrid,0.7086467742919922,0.22281329333782196,0.07880622148513794,1.17151939868927,0.12799949944019318,0.039161231368780136,0.08538461476564407,0.04622338339686394,0.12817591428756714,0.14159291982650757,0.01341700553894043,0.3975105285644531,0.2940451204776764,0.3084443211555481,0.916813299279148,0.6438061808568801,0,0,0.5554322600364685,0.31365853548049927,7.337331771850586e-05,-6.273388862609863e-06,-0.0001384243369102478,-0.0001399517059326172,8.344650268554688e-06,-0.0016118213534355164,-0.005465067923069,0.01035507649844308
