Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00017205278078715006,0.00036765578126884843,3.912041584650676e-05,0.00029965077837308245,7,0,23,30
static,Direction Brier,-8.403162161509196e-05,0.00015959350134549623,-0.00013917994995911914,-2.843776096900305e-05,24,0,6,30
static,Tail Brier,-0.00021876295407613117,0.00017262160497657648,-0.0002708005284269651,-0.00015143373981118204,29,0,1,30
static,Stress CRPS,-0.0007013718287150066,0.0026790480331674283,-0.001620314121246338,0.00024324834346771198,17,0,13,30
static,Stress Tail Brier,-0.0009035984675089518,0.0007868765812085382,-0.0011813464015722275,-0.0006307926774024964,27,0,3,30
static,Tail calibration gap,-0.002579135571916898,0.0016024027741952868,-0.003042749178906282,-0.00195609864157935,29,0,1,30
static,Stress tail calibration gap,-0.007815231879552206,0.005595652175987,-0.009619601170221965,-0.00575389601290226,27,0,3,30
prior,CRPS,0.00038910508155822756,0.0005012118167331299,0.000215177188316981,0.0005624968806902566,5,0,25,30
prior,Direction Brier,5.388160546620687e-05,0.00022022749638312062,-2.2904872894287108e-05,0.00013082355260849,12,0,18,30
prior,Tail Brier,-0.0004116500417391459,0.0002243931825244189,-0.0004905624936024348,-0.0003324314951896668,28,0,2,30
prior,Stress CRPS,-0.002169913053512573,0.005193997753982964,-0.003924478540817897,-0.0003079244991143545,20,0,10,30
prior,Stress Tail Brier,-0.0018068556984265646,0.0016152077243626276,-0.002378497483829657,-0.0012537146359682082,28,0,2,30
prior,Tail calibration gap,-0.005922510971625646,0.001781185837795306,-0.006504097484673063,-0.005238401088863612,29,0,1,30
prior,Stress tail calibration gap,-0.015820460518201192,0.012984721178905744,-0.01994166738043229,-0.010903568454086783,27,0,3,30
neural,CRPS,0.00048398176829020183,0.0007643657269442675,0.000215240220228831,0.0007479194800059,7,0,23,30
neural,Direction Brier,0.0002443636457125346,0.00040475054015479323,0.00010471587379773458,0.00038929123431444165,8,0,22,30
neural,Tail Brier,-0.00020367403825124106,0.00036769974448017605,-0.00032690651093920074,-7.14138522744179e-05,23,0,7,30
neural,Stress CRPS,0.0010023077328999838,0.003930087560273136,-0.00037842432657877605,0.002415155669053395,14,0,16,30
neural,Stress Tail Brier,-0.0001670047640800476,0.0009901100803881941,-0.0005042425418893496,0.00017782573898633287,18,0,12,30
neural,Tail calibration gap,-0.0025249010572830836,0.003951824533454066,-0.0038801217327515286,-0.0010884671409924825,24,0,6,30
neural,Stress tail calibration gap,-0.00284737100203832,0.006386693611550029,-0.005124923698604107,-0.0006122143939137462,19,0,11,30
hybrid,CRPS,0.0003549635410308838,0.000514822594719303,0.0001709859569867452,0.0005343060195446014,6,0,24,30
hybrid,Direction Brier,7.927219072977702e-05,0.00022380213593795842,7.332116365432752e-07,0.00016025533278783162,10,0,20,30
hybrid,Tail Brier,-0.0004423310359319051,0.00020601855582182385,-0.0005155628981689612,-0.0003696625058849653,30,0,0,30
hybrid,Stress CRPS,-0.00255323847134908,0.005264137590265435,-0.0043718672792116805,-0.0006803716719150548,22,0,8,30
hybrid,Stress Tail Brier,-0.0019131074349085489,0.001612743542595297,-0.0024843508750200275,-0.0013481911768515916,28,0,2,30
hybrid,Tail calibration gap,-0.006082337970534961,0.0013007756141571734,-0.006531107692668835,-0.005614261856923501,30,0,0,30
hybrid,Stress tail calibration gap,-0.01649035463730494,0.012428182917386019,-0.02044862059255441,-0.011768365787963074,27,0,3,30
monotonic_hybrid,CRPS,0.0004568338394165039,0.0007307657322553666,0.00021303464968999228,0.0007185109953085581,5,0,25,30
monotonic_hybrid,Direction Brier,7.363508145014445e-05,0.0002541983508203118,-1.8176610271135967e-05,0.00016180320332447688,11,0,19,30
monotonic_hybrid,Tail Brier,-0.0004846493403116862,0.0002550863246561837,-0.0005732590953509012,-0.0003933007518450419,29,0,1,30
monotonic_hybrid,Stress CRPS,-0.002648117144902547,0.005984588019938618,-0.004698084990183512,-0.000519113192955653,20,0,10,30
monotonic_hybrid,Stress Tail Brier,-0.002030627926190694,0.0018469935741068021,-0.002687463822464148,-0.0013901516546805702,27,0,3,30
monotonic_hybrid,Tail calibration gap,-0.00723960225780805,0.0022896076579889623,-0.008066831187655528,-0.006450476453950008,30,0,0,30
monotonic_hybrid,Stress tail calibration gap,-0.01800450732310613,0.015208311615337767,-0.022861406616866586,-0.012221492218474548,27,0,3,30
