Method,Risk Bin,pi_D_mean,pi_D_std,pi_N_mean,pi_N_std,pi_T_mean,pi_T_std
hybrid,High,0.23458944658438366,0.021192817020193,0.26520309497912725,0.009698281139963644,0.5002074599266052,0.0272091084331292
hybrid,Low,0.42783960501352947,0.003856239496354135,0.3356343895196915,0.0022626294448242963,0.23652600695689519,0.0017453012022220337
hybrid,Medium,0.3404124150673548,0.007065942522551204,0.3242996563514074,0.0038116886285575052,0.33528791765371957,0.00849710124570879
monotonic_hybrid,High,0.2198012759288152,0.004237594750226378,0.234152061243852,0.002296433284739437,0.5460466563701629,0.004633290451335812
monotonic_hybrid,Low,0.4436042000850042,0.003904021634330536,0.3125649442275365,0.002060862677508711,0.2438308561841647,0.001956928241492105
monotonic_hybrid,Medium,0.3452227423588435,0.003201161519350504,0.29807641605536145,0.001544635438706846,0.35670084158579507,0.0028585018411297564
neural,High,0.00920961497661968,0.023823549036550744,0.9402331988016764,0.050257209442141786,0.050557179904232426,0.03726815338707092
neural,Low,0.001392209850018844,0.0004846662534857722,0.027578841072196762,0.018485301498881553,0.9710289597511291,0.018735241236514315
neural,Medium,0.0067415265909706555,0.008567669674054236,0.43387108445167544,0.0854309716092924,0.5593873788913091,0.08120953571950623
prior,High,0.2474264512459437,0.004685254474700537,0.2416204482316971,0.0023333891029466494,0.5109531114498774,0.004875488792831035
prior,Low,0.47559406558672584,0.00400044238125435,0.30729764997959136,0.002218565698153122,0.21710829685131708,0.0018791951129606128
prior,Medium,0.37714802622795107,0.0032580561195870656,0.2987133185068766,0.0016383342749423868,0.3241386443376541,0.002719795741008558
static,High,0.3500000009934107,2.023311119447066e-08,0.3500000009934107,2.023311119447066e-08,0.30000000099341073,1.8326875559042697e-08
static,Low,0.3499999284744263,2.5239617954985917e-08,0.3499999284744263,2.5239617954985917e-08,0.30000001688798267,2.7205673725568777e-08
static,Medium,0.3499999463558197,3.375379274292056e-08,0.3499999463558197,3.375379274292056e-08,0.30000001887480415,2.558111657311174e-08
