Method,Metric,Mean Delta,Std Delta,Bootstrap 95% CI Low,Bootstrap 95% CI High,Seeds Better Than CRPS,Seeds Equal,Seeds Worse Than CRPS,Total Seeds
static,CRPS,0.00017205278078715006,0.00036765578126884843,3.987779219945272e-05,0.00029690096775690717,7,0,23,30
static,Direction Brier,-8.403162161509196e-05,0.00015959350134549623,-0.00014094085743029911,-2.6583944757779478e-05,24,0,6,30
static,Tail Brier,-0.00021876295407613117,0.00017262160497657648,-0.00027267944688598314,-0.00015084499493241312,29,0,1,30
static,Stress CRPS,-0.0007013718287150066,0.0026790480331674283,-0.0016599371035893758,0.0002417673667271931,17,0,13,30
static,Stress Tail Brier,-0.0009035984675089518,0.0007868765812085382,-0.0011804033691684404,-0.0006311428919434548,27,0,3,30
static,Tail calibration gap,-0.002579135571916898,0.0016024027741952868,-0.003034822614863515,-0.0019212552408377332,29,0,1,30
static,Stress tail calibration gap,-0.007815231879552206,0.005595652175987,-0.009632491879165171,-0.005648127247889837,27,0,3,30
prior,CRPS,0.00038910508155822756,0.0005012118167331299,0.0002129313349723816,0.0005681602656841278,5,0,25,30
prior,Direction Brier,5.388160546620687e-05,0.00022022749638312062,-2.3038623233636216e-05,0.00013048113634188968,12,0,18,30
prior,Tail Brier,-0.0004116500417391459,0.0002243931825244189,-0.0004881985361377398,-0.00033116882046063743,28,0,2,30
prior,Stress CRPS,-0.002169913053512573,0.005193997753982964,-0.003975888441006343,-0.0003342980643113458,20,0,10,30
prior,Stress Tail Brier,-0.0018068556984265646,0.0016152077243626276,-0.002405905574560166,-0.0012511576960484193,28,0,2,30
prior,Tail calibration gap,-0.005922510971625646,0.001781185837795306,-0.006493778300161163,-0.005259865820407867,29,0,1,30
prior,Stress tail calibration gap,-0.015820460518201192,0.012984721178905744,-0.019898441346983115,-0.010952249877154827,27,0,3,30
neural,CRPS,0.00048398176829020183,0.0007643657269442675,0.0002145908276240031,0.0007464404404163359,7,0,23,30
neural,Direction Brier,0.0002443636457125346,0.00040475054015479323,0.00010288640856742859,0.0003894079352418581,8,0,22,30
neural,Tail Brier,-0.00020367403825124106,0.00036769974448017605,-0.0003289242212971051,-7.009372115135194e-05,23,0,7,30
neural,Stress CRPS,0.0010023077328999838,0.003930087560273136,-0.00035202572743097934,0.0023754547039667763,14,0,16,30
neural,Stress Tail Brier,-0.0001670047640800476,0.0009901100803881941,-0.0005131347601612409,0.00019527851293484356,18,0,12,30
neural,Tail calibration gap,-0.0025249010572830836,0.003951824533454066,-0.003892847818012039,-0.0011107079032808562,24,0,6,30
neural,Stress tail calibration gap,-0.00284737100203832,0.006386693611550029,-0.005157425043483575,-0.0007257857546210289,19,0,11,30
hybrid,CRPS,0.0003549635410308838,0.000514822594719303,0.00017251948515574137,0.0005305599669615427,6,0,24,30
hybrid,Direction Brier,7.927219072977702e-05,0.00022380213593795842,1.5371168653170306e-06,0.0001603329305847485,10,0,20,30
hybrid,Tail Brier,-0.0004423310359319051,0.00020601855582182385,-0.0005136283300817013,-0.0003697708000739416,30,0,0,30
hybrid,Stress CRPS,-0.00255323847134908,0.005264137590265435,-0.0043906254072984055,-0.000695996830860774,22,0,8,30
hybrid,Stress Tail Brier,-0.0019131074349085489,0.001612743542595297,-0.002501362177232901,-0.0013586405416329702,28,0,2,30
hybrid,Tail calibration gap,-0.006082337970534961,0.0013007756141571734,-0.006521493239949146,-0.0056027526625742514,30,0,0,30
hybrid,Stress tail calibration gap,-0.01649035463730494,0.012428182917386019,-0.02042418203006188,-0.011838303046921893,27,0,3,30
monotonic_hybrid,CRPS,0.0004568338394165039,0.0007307657322553666,0.00021045729517936708,0.0007284303506215413,5,0,25,30
monotonic_hybrid,Direction Brier,7.363508145014445e-05,0.0002541983508203118,-1.556988805532455e-05,0.0001601916179060936,11,0,19,30
monotonic_hybrid,Tail Brier,-0.0004846493403116862,0.0002550863246561837,-0.0005731133433679739,-0.00039497574170430506,29,0,1,30
monotonic_hybrid,Stress CRPS,-0.002648117144902547,0.005984588019938618,-0.004753674914439519,-0.0004970221221446992,20,0,10,30
monotonic_hybrid,Stress Tail Brier,-0.002030627926190694,0.0018469935741068021,-0.0026797411714990934,-0.001390748073657354,27,0,3,30
monotonic_hybrid,Tail calibration gap,-0.00723960225780805,0.0022896076579889623,-0.008038439176355798,-0.006425373200327158,30,0,0,30
monotonic_hybrid,Stress tail calibration gap,-0.01800450732310613,0.015208311615337767,-0.022978526391088962,-0.01233395639806986,27,0,3,30
